date,symbol,exchange,status,source
2019-01-02,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-02,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-03,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-04,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
