symbol,exchange,date,event_type,cash_amount,stock_ratio,rights_ratio,reference_price,adjustment_factor,source,verified
1240,TPEx,2019-08-06,STOCK_DIVIDEND,1.5,,,45.73,0.9409465020576131,TPEx bulletin/exDailyQ,True
1240,TPEx,2020-08-27,STOCK_DIVIDEND,2.0,,,55.24,0.9378607809847199,TPEx bulletin/exDailyQ,True
1240,TPEx,2021-08-31,STOCK_DIVIDEND,2.0,,,52.57,0.919055944055944,TPEx bulletin/exDailyQ,True
1240,TPEx,2022-08-03,CASH_DIVIDEND,2.0,,,44.95,0.9574014909478168,TPEx bulletin/exDailyQ,True
1240,TPEx,2022-08-23,STOCK_DIVIDEND,0.0,,,44.1,0.9524838012958964,TPEx bulletin/exDailyQ,True
1240,TPEx,2023-08-30,STOCK_DIVIDEND,1.0,,,45.05,0.9595314164004258,TPEx bulletin/exDailyQ,True
1240,TPEx,2024-08-28,STOCK_DIVIDEND,2.2,,,51.71,0.9152212389380531,TPEx bulletin/exDailyQ,True
1240,TPEx,2025-08-28,STOCK_DIVIDEND,2.7,,,58.97,0.8962006079027356,TPEx bulletin/exDailyQ,True
1240,TPEx,2026-07-15,CASH_DIVIDEND,3.0,,,55.1,0.9483648881239243,TPEx bulletin/exDailyQ,True
1258,TPEx,2018-07-27,CASH_DIVIDEND,0.5,,,29.7,0.9834437086092715,TPEx bulletin/exDailyQ,True
1259,TPEx,2018-06-26,CASH_DIVIDEND,3.5,,,76.5,0.95625,TPEx bulletin/exDailyQ,True
1259,TPEx,2019-06-25,CASH_DIVIDEND,3.0,,,69.3,0.9585062240663901,TPEx bulletin/exDailyQ,True
1259,TPEx,2020-06-23,CASH_DIVIDEND,3.2,,,67.6,0.9548022598870056,TPEx bulletin/exDailyQ,True
1259,TPEx,2021-09-14,CASH_DIVIDEND,2.989163,,,67.61,0.9576487252124647,TPEx bulletin/exDailyQ,True
1259,TPEx,2022-03-16,CASH_DIVIDEND,2.3,,,66.0,0.9663250366032211,TPEx bulletin/exDailyQ,True
1259,TPEx,2023-03-16,CASH_DIVIDEND,2.6,,,75.2,0.9665809768637533,TPEx bulletin/exDailyQ,True
1259,TPEx,2024-06-05,CASH_DIVIDEND,1.8,,,71.8,0.9755434782608696,TPEx bulletin/exDailyQ,True
1259,TPEx,2025-06-23,CASH_DIVIDEND,1.2,,,54.0,0.9782608695652173,TPEx bulletin/exDailyQ,True
1259,TPEx,2026-06-25,CASH_DIVIDEND,1.2,,,56.4,0.9791666666666666,TPEx bulletin/exDailyQ,True
1264,TPEx,2018-07-17,CASH_DIVIDEND,10.5,,,207.5,0.9518348623853211,TPEx bulletin/exDailyQ,True
1264,TPEx,2019-07-15,CASH_DIVIDEND,11.0,,,219.0,0.9521739130434783,TPEx bulletin/exDailyQ,True
1264,TPEx,2020-06-16,CASH_DIVIDEND,11.003919,,,217.0,0.9517543859649122,TPEx bulletin/exDailyQ,True
1264,TPEx,2021-08-12,STOCK_DIVIDEND,12.0,,,298.18,0.877,TPEx bulletin/exDailyQ,True
1264,TPEx,2022-06-29,CASH_DIVIDEND,12.0,,,257.0,0.9553903345724907,TPEx bulletin/exDailyQ,True
1264,TPEx,2023-07-17,CASH_DIVIDEND,12.0,,,286.5,0.9597989949748744,TPEx bulletin/exDailyQ,True
1264,TPEx,2024-07-16,CASH_DIVIDEND,14.0,,,306.0,0.95625,TPEx bulletin/exDailyQ,True
1264,TPEx,2025-07-15,CASH_DIVIDEND,14.5,,,310.0,0.9553158705701078,TPEx bulletin/exDailyQ,True
1264,TPEx,2026-07-15,CASH_DIVIDEND,15.0,,,256.5,0.9447513812154696,TPEx bulletin/exDailyQ,True
1268,TPEx,2018-07-10,STOCK_DIVIDEND,6.57525043,,,113.05,0.9191056910569105,TPEx bulletin/exDailyQ,True
1268,TPEx,2019-06-21,CASH_DIVIDEND,6.96526216,,,142.03,0.9532214765100672,TPEx bulletin/exDailyQ,True
1268,TPEx,2020-08-24,CASH_DIVIDEND,7.0,,,131.0,0.9492753623188406,TPEx bulletin/exDailyQ,True
1268,TPEx,2021-08-30,CASH_DIVIDEND,7.0,,,125.0,0.946969696969697,TPEx bulletin/exDailyQ,True
1268,TPEx,2021-11-11,STOCK_DIVIDEND,0.0,,,119.84,0.9782857142857143,TPEx bulletin/exDailyQ,True
1268,TPEx,2022-08-30,CASH_DIVIDEND,3.0,,,109.0,0.9732142857142857,TPEx bulletin/exDailyQ,True
1268,TPEx,2023-09-08,CASH_DIVIDEND,3.0,,,146.0,0.9798657718120806,TPEx bulletin/exDailyQ,True
1268,TPEx,2024-09-09,CASH_DIVIDEND,7.0,,,151.5,0.9558359621451105,TPEx bulletin/exDailyQ,True
1268,TPEx,2025-09-11,CASH_DIVIDEND,7.5,,,156.5,0.9542682926829268,TPEx bulletin/exDailyQ,True
1294,TPEx,2025-07-15,CASH_DIVIDEND,3.13,,,70.37,0.9574149659863946,TPEx bulletin/exDailyQ,True
1294,TPEx,2025-07-31,STOCK_DIVIDEND,0.0,,,74.4,0.9084249084249084,TPEx bulletin/exDailyQ,True
1294,TPEx,2026-07-03,STOCK_DIVIDEND,3.0,,,63.75,0.8018867924528302,TPEx bulletin/exDailyQ,True
1295,TPEx,2026-03-27,CASH_DIVIDEND,3.0,,,66.0,0.9565217391304348,TPEx bulletin/exDailyQ,True
1295,TPEx,2026-06-29,STOCK_DIVIDEND,0.0,,,47.02,0.9961864406779661,TPEx bulletin/exDailyQ,True
1336,TPEx,2018-08-23,CASH_DIVIDEND,0.6,,,17.0,0.9659090909090908,TPEx bulletin/exDailyQ,True
1336,TPEx,2019-08-22,CASH_DIVIDEND,0.79029458,,,14.21,0.9473333333333334,TPEx bulletin/exDailyQ,True
1336,TPEx,2020-07-15,CASH_DIVIDEND,1.2,,,15.35,0.9274924471299093,TPEx bulletin/exDailyQ,True
1336,TPEx,2021-08-11,CASH_DIVIDEND,1.5,,,22.3,0.9369747899159664,TPEx bulletin/exDailyQ,True
1336,TPEx,2022-08-02,CASH_DIVIDEND,0.4,,,20.4,0.9807692307692306,TPEx bulletin/exDailyQ,True
1336,TPEx,2023-07-10,CASH_DIVIDEND,0.41,,,23.54,0.9828810020876827,TPEx bulletin/exDailyQ,True
1336,TPEx,2024-07-04,CASH_DIVIDEND,0.41,,,20.34,0.9802409638554217,TPEx bulletin/exDailyQ,True
1336,TPEx,2025-07-10,CASH_DIVIDEND,0.945,,,18.76,0.952284263959391,TPEx bulletin/exDailyQ,True
1336,TPEx,2026-07-15,CASH_DIVIDEND,0.26,,,15.69,0.9836990595611286,TPEx bulletin/exDailyQ,True
1565,TPEx,2018-07-12,CASH_DIVIDEND,25.0,,,575.0,0.9583333333333334,TPEx bulletin/exDailyQ,True
1565,TPEx,2019-08-26,CASH_DIVIDEND,26.5,,,457.5,0.9452479338842975,TPEx bulletin/exDailyQ,True
1565,TPEx,2020-09-03,CASH_DIVIDEND,18.0,,,275.0,0.9385665529010239,TPEx bulletin/exDailyQ,True
1565,TPEx,2021-08-30,CASH_DIVIDEND,12.0,,,337.5,0.9656652360515021,TPEx bulletin/exDailyQ,True
1565,TPEx,2022-08-22,CASH_DIVIDEND,15.0,,,263.0,0.9460431654676259,TPEx bulletin/exDailyQ,True
1565,TPEx,2023-08-18,CASH_DIVIDEND,13.5,,,195.0,0.935251798561151,TPEx bulletin/exDailyQ,True
1565,TPEx,2024-08-27,CASH_DIVIDEND,7.0,,,174.5,0.9614325068870524,TPEx bulletin/exDailyQ,True
1565,TPEx,2025-08-25,CASH_DIVIDEND,9.5,,,149.0,0.9400630914826499,TPEx bulletin/exDailyQ,True
1566,TPEx,2018-06-01,STOCK_DIVIDEND,0.0,,,17.76,0.9839335180055402,TPEx bulletin/exDailyQ,True
1566,TPEx,2018-08-24,CASH_DIVIDEND,0.57652346,,,16.27,0.9655786350148367,TPEx bulletin/exDailyQ,True
1569,TPEx,2018-01-29,STOCK_DIVIDEND,0.0,,,41.93,0.9842723004694836,TPEx bulletin/exDailyQ,True
1569,TPEx,2018-09-18,CASH_DIVIDEND,0.6,,,16.3,0.9644970414201185,TPEx bulletin/exDailyQ,True
1569,TPEx,2019-09-19,CASH_DIVIDEND,0.25,,,22.85,0.9891774891774892,TPEx bulletin/exDailyQ,True
