exchange,period,reason,automatically_fixable
TWSE,2021-11,"RuntimeError:TWSE_ACTION_FALLBACKS_EXHAUSTED:OFFICIAL_SOURCE_FAILED:https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))|OFFICIAL_PARSE_FAILED:https://www.twse.com.tw/rwd/zh/exRight/TWT49U:JSONDecodeError",True
TWSE,2021-12,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-01,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-02,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-03,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-04,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-05,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-06,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-07,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-08,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-09,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-10,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-11,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2022-12,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-01,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-02,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-03,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-04,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-05,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-06,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-07,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-08,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-09,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-10,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-11,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2023-12,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-01,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-02,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-03,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-04,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-05,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-06,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-07,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-08,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-09,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-10,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-11,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2024-12,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-01,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-02,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-03,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-04,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-05,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-06,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-07,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-08,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-09,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-10,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-11,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2025-12,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-01,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-02,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-03,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-04,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-05,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-06,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-07,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
TWSE,2026-08,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK,True
