symbol,exchange,listing_date,delisting_date,price_history_available,included_in_research,exclusion_reason
1729,TWSE,,2018-01-02,False,False,MISSING_CATALOG_OR_PRICE
2325,TWSE,2018-01-02,2018-04-30,True,True,
2311,TWSE,2018-01-02,2018-04-30,True,True,
1469,TWSE,2018-01-03,2018-07-11,True,True,
4984,TWSE,2018-01-02,2018-09-01,True,True,
6422,TWSE,2018-01-02,2018-09-28,True,True,
3514,TWSE,2018-01-02,2018-10-01,True,True,
3561,TWSE,2018-01-02,2018-10-01,True,True,
2856,TWSE,2018-01-02,2018-10-01,True,True,
6145,TWSE,2018-01-02,2018-10-01,True,True,
1704,TWSE,2018-01-02,2019-01-30,True,True,
3519,TWSE,2018-01-02,2019-05-02,True,True,
2475,TWSE,2018-01-02,2019-05-13,True,True,
3579,TWSE,2018-01-02,2019-06-26,True,True,
1262,TWSE,2018-01-02,2019-10-14,True,True,
9157,TWSE,2018-01-02,2019-11-12,True,True,
5259,TWSE,2018-01-02,2020-01-09,True,True,
1902,TWSE,2018-01-02,2020-06-01,True,True,
8497,TWSE,2018-03-08,2020-10-30,True,True,
4144,TWSE,2018-01-02,2020-10-30,True,True,
2499,TWSE,2018-01-02,2020-11-10,True,True,
5305,TWSE,2018-01-02,2020-11-30,True,True,
2448,TWSE,2018-01-02,2021-01-06,True,True,
3698,TWSE,2018-01-02,2021-01-06,True,True,
5264,TWSE,2018-01-02,2021-01-15,True,True,
4725,TWSE,2018-01-02,2021-01-18,True,True,
6452,TWSE,2018-01-02,2021-04-01,True,True,
6131,TWSE,2018-01-02,2021-07-05,True,True,
1724,TWSE,2018-01-02,2021-11-01,True,True,
2823,TWSE,2018-01-02,2021-12-30,True,True,
2456,TWSE,2018-01-02,2022-01-05,True,True,
1592,TWSE,2018-01-02,2022-01-27,True,True,
8427,TWSE,2018-01-02,2022-03-03,True,True,
9188,TWSE,2018-01-02,2022-03-18,True,True,
1507,TWSE,2018-01-02,2022-04-21,True,True,
4141,TWSE,2018-01-02,2022-05-03,True,True,
2936,TWSE,2018-01-02,2022-06-27,True,True,
6172,TWSE,2018-01-02,2022-06-29,True,True,
2841,TWSE,2018-01-02,2022-08-04,True,True,
6251,TWSE,2018-01-02,2022-08-25,True,True,
6289,TWSE,2018-01-02,2022-09-26,True,True,
3383,TWSE,2018-01-02,2022-09-26,True,True,
8480,TWSE,2018-01-02,2022-12-21,True,True,
3536,TWSE,2018-01-02,2023-06-26,True,True,
3682,TWSE,2018-01-02,2023-12-15,True,True,
1701,TWSE,2018-01-02,2024-09-02,True,True,
2358,TWSE,2018-01-02,2024-11-19,True,True,
2443,TWSE,2018-01-02,2024-11-19,True,True,
2888,TWSE,2018-01-02,2025-07-24,True,True,
6288,TWSE,2018-05-09,2025-08-15,True,True,
2809,TWSE,2018-01-02,2025-10-01,True,True,
6423,TWSE,2026-01-22,2026-01-22,True,True,
3454,TWSE,2018-01-02,2026-03-27,True,True,
6806,TWSE,2021-11-10,2026-06-23,True,True,
6554,TPEx,2018-01-02,2018-05-31,True,True,
3068,TPEx,2018-01-02,2018-06-13,True,True,
4965,TPEx,2018-01-02,2018-06-22,True,True,
6107,TPEx,,2018-06-27,False,False,MISSING_CATALOG_OR_PRICE
3428,TPEx,2018-01-02,2018-10-01,True,True,
6298,TPEx,2018-01-02,2018-10-01,True,True,
4103,TPEx,2018-01-02,2018-11-13,True,True,
3299,TPEx,2018-01-02,2018-11-29,True,True,
5255,TPEx,2018-01-02,2018-11-30,True,True,
5480,TPEx,2018-01-02,2019-03-29,True,True,
3563,TPEx,2018-01-02,2019-04-02,True,True,
1566,TPEx,2018-01-02,2019-07-31,True,True,
4180,TPEx,2018-01-02,2019-08-05,True,True,
3431,TPEx,2018-01-02,2019-09-02,True,True,
2233,TPEx,2018-01-02,2019-09-17,True,True,
5317,TPEx,2018-01-02,2019-09-30,True,True,
1787,TPEx,2018-01-02,2019-11-29,True,True,
4415,TPEx,2018-11-02,2019-12-16,True,True,
1795,TPEx,2018-01-02,2019-12-16,True,True,
3562,TPEx,2018-01-02,2020-02-27,True,True,
8287,TPEx,2018-01-02,2020-05-11,True,True,
4947,TPEx,2018-01-02,2020-05-28,True,True,
6238,TPEx,2018-01-02,2020-06-19,True,True,
6497,TPEx,2018-01-02,2020-08-25,True,True,
5349,TPEx,2018-01-02,2020-11-04,True,True,
1333,TPEx,2018-01-03,2020-11-17,True,True,
8934,TPEx,2018-01-02,2020-11-18,True,True,
5304,TPEx,2018-01-02,2020-11-20,True,True,
1597,TPEx,2018-01-02,2020-12-23,True,True,
6438,TPEx,2018-01-02,2021-01-19,True,True,
6426,TPEx,2018-01-02,2021-03-24,True,True,
3092,TPEx,2018-01-02,2021-05-13,True,True,
911613,TPEx,,2021-09-03,False,False,MISSING_CATALOG_OR_PRICE
4152,TPEx,2018-01-02,2021-10-08,True,True,
2928,TPEx,2018-01-02,2021-10-22,True,True,
3144,TPEx,2018-01-02,2021-12-20,True,True,
4803,TPEx,2018-01-02,2021-12-27,True,True,
1752,TPEx,2018-01-02,2022-01-19,True,True,
5306,TPEx,2018-01-02,2022-03-08,True,True,
8406,TPEx,2018-01-02,2022-04-29,True,True,
4429,TPEx,2018-01-02,2022-05-31,True,True,
5102,TPEx,2018-01-02,2022-07-15,True,True,
3652,TPEx,2018-01-02,2022-09-21,True,True,
5820,TPEx,2018-01-02,2022-11-11,True,True,
6247,TPEx,2018-01-02,2023-02-10,True,True,
6594,TPEx,2018-01-02,2023-04-01,True,True,
1258,TPEx,2018-01-02,2023-06-09,True,True,
3642,TPEx,2018-01-02,2023-06-27,True,True,
8476,TPEx,2018-01-02,2023-10-31,True,True,
5281,TPEx,2018-01-02,2023-10-31,True,True,
4944,TPEx,2018-01-02,2023-11-01,True,True,
6472,TPEx,2018-01-02,2023-12-19,True,True,
4736,TPEx,2018-01-02,2023-12-22,True,True,
6446,TPEx,2018-01-02,2024-01-25,True,True,
8418,TPEx,2018-01-02,2024-01-31,True,True,
3089,TPEx,2018-01-02,2024-03-04,True,True,
5383,TPEx,2018-01-02,2024-05-31,True,True,
6404,TPEx,2018-01-02,2024-07-02,True,True,
4712,TPEx,2018-01-02,2024-09-25,True,True,
6514,TPEx,2018-01-02,2024-10-18,True,True,
8420,TPEx,2018-01-02,2024-11-29,True,True,
