date,endpoint,error
2019-10-23,TWSE_MI_INDEX_WWWC,"RuntimeError:OFFICIAL_SOURCE_FAILED:https://wwwc.twse.com.tw/rwd/zh/afterTrading/MI_INDEX:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2019-11-04,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-01-08,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-01-20,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-02-26,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-03-09,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-07-08,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-07-20,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-09-17,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2020-09-28,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2021-10-20,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2021-10-26,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2022-09-06,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2022-09-19,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2022-10-26,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2022-10-27,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2025-07-11,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
2025-07-21,TWSE_MI_INDEX_WWWC,CIRCUIT_OPEN_AFTER_SECURITY_BLOCK
