symbol,exchange,company_name,current_listing_date,current_delisting_date,missing_field,existing_sources,resolution,resolution_source,evidence
1333,TPEx,恩得利工業股份有限公司,,2020-11-17,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
1469,TWSE,理隆纖維,,2018-07-11,listing_date_or_verified_research_start_boundary,TWSE suspendListingCsvAndHtml|https://openapi.twse.com.tw/v1/company/suspendListingCsvAndHtml,VERIFIED_LISTED_AT_RESEARCH_START,TWSE official whole-market daily table,official membership on first research session 2018-01-02
1597,TPEx,直得科技股份有限公司,,2020-12-23,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
1752,TPEx,南光化學製藥股份有限公司,,2022-01-19,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
1795,TPEx,美時化學製藥股份有限公司,,2019-12-16,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
2233,TPEx,宇隆科技股份有限公司,,2019-09-17,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
3092,TPEx,鴻碩精密電工股份有限公司,,2021-05-13,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
3563,TPEx,牧德科技股份有限公司,,2019-04-02,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
3652,TPEx,精聯電子股份有限公司,,2022-09-21,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
4415,TPEx,台原藥股份有限公司,,2019-12-16,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_OFFICIAL_MARKET_ENTRY_BOUNDARY,TPEx official whole-market daily table,"absent 2018-03-30, present 2018-03-31 in consecutive official sessions"
4736,TPEx,泰博科技股份有限公司,,2023-12-22,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
4945,TPEx,陞達科技股份有限公司,,2025-09-08,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_OFFICIAL_MARKET_ENTRY_BOUNDARY,TPEx official whole-market daily table,"absent 2020-11-19, present 2020-11-20 in consecutive official sessions"
5236,TPEx,凌陽創新科技股份有限公司,,2026-07-16,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_OFFICIAL_MARKET_ENTRY_BOUNDARY,TPEx official whole-market daily table,"absent 2021-07-28, present 2021-07-29 in consecutive official sessions"
5306,TPEx,桂盟國際股份有限公司,,2022-03-08,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
6107,TPEx,華美電子股份有限公司,,2018-06-27,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,UNRESOLVED,,
6288,TWSE,聯嘉光電,,2025-08-15,listing_date_or_verified_research_start_boundary,TWSE suspendListingCsvAndHtml|https://openapi.twse.com.tw/v1/company/suspendListingCsvAndHtml,VERIFIED_OFFICIAL_MARKET_ENTRY_BOUNDARY,TWSE official whole-market daily table,"absent 2018-05-08, present 2018-05-09 in consecutive official sessions"
6423,TWSE,億而得-創,,2026-01-22,listing_date_or_verified_research_start_boundary,TWSE suspendListingCsvAndHtml|https://openapi.twse.com.tw/v1/company/suspendListingCsvAndHtml,VERIFIED_OFFICIAL_NEWLISTING,TWSE OpenAPI company/newlisting,official listing record date 2024-05-15
6426,TPEx,統新光訊股份有限公司,,2021-03-24,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
6438,TPEx,迅得機械股份有限公司,,2021-01-19,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
6446,TPEx,藥華醫藥股份有限公司,,2024-01-25,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
6472,TPEx,保瑞藥業股份有限公司,,2023-12-19,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_LISTED_AT_RESEARCH_START,TPEx official whole-market daily table,official membership on first research session 2018-01-02
6589,TPEx,台康生技股份有限公司,,2025-07-21,listing_date_or_verified_research_start_boundary,TPEx company/deListed|https://www.tpex.org.tw/www/zh-tw/company/deListed,VERIFIED_OFFICIAL_MARKET_ENTRY_BOUNDARY,TPEx official whole-market daily table,"absent 2019-06-27, present 2019-06-28 in consecutive official sessions"
