symbol,exchange,expected_sessions,covered_sessions,missing_required_sessions,coverage_pct
1101,TWSE,2100,2094,6,0.9971428571428571
1102,TWSE,2100,2094,6,0.9971428571428571
1103,TWSE,2100,2094,6,0.9971428571428571
1104,TWSE,2100,2094,6,0.9971428571428571
1108,TWSE,2100,2094,6,0.9971428571428571
1109,TWSE,2093,2087,6,0.9971333014811276
1110,TWSE,2100,2094,6,0.9971428571428571
1201,TWSE,2100,2094,6,0.9971428571428571
1203,TWSE,2100,2094,6,0.9971428571428571
1210,TWSE,2100,2094,6,0.9971428571428571
1213,TWSE,2021,2015,6,0.9970311726867888
1215,TWSE,2100,2094,6,0.9971428571428571
1216,TWSE,2100,2094,6,0.9971428571428571
1217,TWSE,2100,2094,6,0.9971428571428571
1218,TWSE,2100,2094,6,0.9971428571428571
1219,TWSE,2100,2094,6,0.9971428571428571
1220,TWSE,2100,2094,6,0.9971428571428571
1225,TWSE,2100,2094,6,0.9971428571428571
1227,TWSE,2100,2094,6,0.9971428571428571
1229,TWSE,2100,2094,6,0.9971428571428571
1231,TWSE,2100,2094,6,0.9971428571428571
1232,TWSE,2100,2094,6,0.9971428571428571
1233,TWSE,2100,2094,6,0.9971428571428571
1234,TWSE,2100,2094,6,0.9971428571428571
1235,TWSE,2100,2094,6,0.9971428571428571
1236,TWSE,2100,2094,6,0.9971428571428571
1240,TPEx,1949,1945,4,0.9979476654694716
1256,TWSE,2100,2094,6,0.9971428571428571
1258,TPEx,1256,1252,4,0.9968152866242038
1259,TPEx,1976,1971,5,0.9974696356275303
1262,TWSE,431,429,2,0.9953596287703016
1264,TPEx,2056,2051,5,0.997568093385214
1268,TPEx,2091,2086,5,0.9976087996174079
1294,TPEx,459,458,1,0.9978213507625272
1295,TPEx,303,302,1,0.9966996699669967
1301,TWSE,2100,2094,6,0.9971428571428571
1303,TWSE,2100,2094,6,0.9971428571428571
1304,TWSE,2100,2094,6,0.9971428571428571
1305,TWSE,2100,2094,6,0.9971428571428571
1307,TWSE,2100,2094,6,0.9971428571428571
1308,TWSE,2100,2094,6,0.9971428571428571
1309,TWSE,2100,2094,6,0.9971428571428571
1310,TWSE,2100,2094,6,0.9971428571428571
1312,TWSE,2100,2094,6,0.9971428571428571
1313,TWSE,2100,2094,6,0.9971428571428571
1314,TWSE,2100,2094,6,0.9971428571428571
1315,TWSE,2100,2094,6,0.9971428571428571
1316,TWSE,2100,2094,6,0.9971428571428571
1319,TWSE,2100,2094,6,0.9971428571428571
1321,TWSE,2100,2094,6,0.9971428571428571
1323,TWSE,2100,2094,6,0.9971428571428571
1324,TWSE,2100,2094,6,0.9971428571428571
1325,TWSE,2100,2094,6,0.9971428571428571
1326,TWSE,2100,2094,6,0.9971428571428571
1333,TPEx,446,443,3,0.9932735426008968
1336,TPEx,2099,2094,5,0.9976179132920439
1337,TWSE,2100,2094,6,0.9971428571428571
1338,TWSE,2100,2094,6,0.9971428571428571
1339,TWSE,2100,2094,6,0.9971428571428571
1340,TWSE,2100,2094,6,0.9971428571428571
1341,TWSE,1858,1854,4,0.9978471474703983
1342,TWSE,1394,1391,3,0.9978479196556671
1402,TWSE,2100,2094,6,0.9971428571428571
1409,TWSE,2100,2094,6,0.9971428571428571
1410,TWSE,2100,2094,6,0.9971428571428571
1413,TWSE,2100,2094,6,0.9971428571428571
1414,TWSE,2100,2094,6,0.9971428571428571
1416,TWSE,2100,2094,6,0.9971428571428571
1417,TWSE,2100,2094,6,0.9971428571428571
1418,TWSE,2098,2094,4,0.998093422306959
1419,TWSE,2100,2094,6,0.9971428571428571
1423,TWSE,2093,2087,6,0.9971333014811276
1432,TWSE,2100,2094,6,0.9971428571428571
1434,TWSE,2100,2094,6,0.9971428571428571
1435,TWSE,2100,2094,6,0.9971428571428571
1436,TWSE,2100,2094,6,0.9971428571428571
1437,TWSE,2100,2094,6,0.9971428571428571
1438,TWSE,2100,2094,6,0.9971428571428571
1439,TWSE,2100,2094,6,0.9971428571428571
1440,TWSE,2100,2094,6,0.9971428571428571
1441,TWSE,2100,2094,6,0.9971428571428571
1442,TWSE,2100,2094,6,0.9971428571428571
1443,TWSE,2100,2094,6,0.9971428571428571
1444,TWSE,2100,2094,6,0.9971428571428571
1445,TWSE,2100,2094,6,0.9971428571428571
1446,TWSE,2100,2094,6,0.9971428571428571
1447,TWSE,2100,2094,6,0.9971428571428571
1449,TWSE,2100,2094,6,0.9971428571428571
1451,TWSE,2100,2094,6,0.9971428571428571
1452,TWSE,2100,2094,6,0.9971428571428571
1453,TWSE,2099,2094,5,0.9976179132920439
1454,TWSE,2100,2094,6,0.9971428571428571
1455,TWSE,2100,2094,6,0.9971428571428571
1456,TWSE,2099,2094,5,0.9976179132920439
1457,TWSE,2100,2094,6,0.9971428571428571
1459,TWSE,2100,2094,6,0.9971428571428571
1460,TWSE,2100,2094,6,0.9971428571428571
1463,TWSE,2100,2094,6,0.9971428571428571
1464,TWSE,2100,2094,6,0.9971428571428571
1465,TWSE,2100,2094,6,0.9971428571428571
1466,TWSE,2099,2094,5,0.9976179132920439
1467,TWSE,2100,2094,6,0.9971428571428571
1468,TWSE,2100,2094,6,0.9971428571428571
1469,TWSE,98,98,0,1.0
1470,TWSE,2100,2094,6,0.9971428571428571
1471,TWSE,2093,2087,6,0.9971333014811276
1472,TWSE,2100,2094,6,0.9971428571428571
1473,TWSE,2100,2094,6,0.9971428571428571
1474,TWSE,2100,2094,6,0.9971428571428571
1475,TWSE,2099,2094,5,0.9976179132920439
1476,TWSE,2100,2094,6,0.9971428571428571
1477,TWSE,2100,2094,6,0.9971428571428571
1503,TWSE,2100,2094,6,0.9971428571428571
1504,TWSE,2100,2094,6,0.9971428571428571
1506,TWSE,2100,2094,6,0.9971428571428571
1507,TWSE,1046,1041,5,0.9952198852772467
1512,TWSE,2100,2094,6,0.9971428571428571
1513,TWSE,2100,2094,6,0.9971428571428571
1514,TWSE,2100,2094,6,0.9971428571428571
1515,TWSE,2100,2094,6,0.9971428571428571
1516,TWSE,2100,2094,6,0.9971428571428571
1517,TWSE,2100,2094,6,0.9971428571428571
1519,TWSE,2100,2094,6,0.9971428571428571
1521,TWSE,2100,2094,6,0.9971428571428571
1522,TWSE,2100,2094,6,0.9971428571428571
1524,TWSE,2100,2093,7,0.9966666666666667
1525,TWSE,2100,2094,6,0.9971428571428571
1526,TWSE,2100,2094,6,0.9971428571428571
1527,TWSE,2100,2094,6,0.9971428571428571
1528,TWSE,2100,2094,6,0.9971428571428571
1529,TWSE,2092,2087,5,0.9976099426386233
1530,TWSE,2100,2094,6,0.9971428571428571
1531,TWSE,2100,2094,6,0.9971428571428571
1532,TWSE,2100,2094,6,0.9971428571428571
1533,TWSE,2100,2094,6,0.9971428571428571
1535,TWSE,2100,2094,6,0.9971428571428571
1536,TWSE,2100,2094,6,0.9971428571428571
1537,TWSE,2100,2094,6,0.9971428571428571
1538,TWSE,2095,2089,6,0.9971360381861575
1539,TWSE,2100,2094,6,0.9971428571428571
1540,TWSE,2100,2094,6,0.9971428571428571
1541,TWSE,2100,2094,6,0.9971428571428571
1558,TWSE,2100,2094,6,0.9971428571428571
1560,TWSE,2100,2094,6,0.9971428571428571
1563,TWSE,554,552,2,0.9963898916967509
1565,TPEx,2100,2095,5,0.9976190476190476
1566,TPEx,379,377,2,0.9947229551451188
1568,TWSE,2100,2094,6,0.9971428571428571
1569,TPEx,2100,2095,5,0.9976190476190476
1570,TPEx,2093,2088,5,0.9976110845676063
1580,TPEx,2100,2095,5,0.9976190476190476
1582,TWSE,2093,2087,6,0.9971333014811276
1583,TWSE,2100,2094,6,0.9971428571428571
1584,TPEx,2099,2094,5,0.9976179132920439
1586,TPEx,2100,2095,5,0.9976190476190476
1587,TWSE,2035,2030,5,0.9975429975429976
1589,TWSE,2100,2094,6,0.9971428571428571
1590,TWSE,2100,2094,6,0.9971428571428571
1591,TPEx,2063,2058,5,0.9975763451284537
1592,TWSE,996,839,157,0.8423694779116466
1593,TPEx,2089,2084,5,0.9976065102920058
1595,TPEx,2096,2091,5,0.9976145038167938
1597,TPEx,727,724,3,0.9958734525447043
1597,TWSE,1373,0,1373,0.0
1598,TWSE,2100,2094,6,0.9971428571428571
1599,TPEx,2099,2094,5,0.9976179132920439
1603,TWSE,2020,2015,5,0.9975247524752475
1604,TWSE,2095,2089,6,0.9971360381861575
1605,TWSE,2100,2094,6,0.9971428571428571
1608,TWSE,2100,2094,6,0.9971428571428571
1609,TWSE,2100,2094,6,0.9971428571428571
1611,TWSE,2100,2094,6,0.9971428571428571
1612,TWSE,2100,2094,6,0.9971428571428571
1613,TWSE,0,0,0,0.0
1614,TWSE,2100,2094,6,0.9971428571428571
1615,TWSE,2100,2094,6,0.9971428571428571
1616,TWSE,2100,2094,6,0.9971428571428571
1617,TWSE,2100,2094,6,0.9971428571428571
1618,TWSE,2100,2094,6,0.9971428571428571
1623,TWSE,138,137,1,0.9927536231884058
1626,TWSE,2100,2094,6,0.9971428571428571
1701,TWSE,1623,1615,8,0.9950708564386938
1702,TWSE,2100,2094,6,0.9971428571428571
1704,TWSE,263,263,0,1.0
1707,TWSE,2100,2094,6,0.9971428571428571
1708,TWSE,2100,2094,6,0.9971428571428571
1709,TWSE,2100,2094,6,0.9971428571428571
1710,TWSE,2100,2094,6,0.9971428571428571
1711,TWSE,2100,2094,6,0.9971428571428571
1712,TWSE,2100,2094,6,0.9971428571428571
1713,TWSE,2100,2094,6,0.9971428571428571
1714,TWSE,2100,2094,6,0.9971428571428571
1715,TWSE,0,0,0,0.0
1717,TWSE,2100,2094,6,0.9971428571428571
1718,TWSE,2100,2094,6,0.9971428571428571
1720,TWSE,2100,2094,6,0.9971428571428571
1721,TWSE,2100,2094,6,0.9971428571428571
1722,TWSE,2100,2094,6,0.9971428571428571
1723,TWSE,2100,2094,6,0.9971428571428571
1724,TWSE,931,925,6,0.9935553168635876
1725,TWSE,2100,2094,6,0.9971428571428571
1726,TWSE,2100,2094,6,0.9971428571428571
1727,TWSE,2100,2094,6,0.9971428571428571
1729,TWSE,0,0,0,0.0
1730,TWSE,2100,2094,6,0.9971428571428571
1731,TWSE,2100,2094,6,0.9971428571428571
1732,TWSE,2100,2094,6,0.9971428571428571
1733,TWSE,2100,2094,6,0.9971428571428571
1734,TWSE,2100,2094,6,0.9971428571428571
1735,TWSE,2099,2094,5,0.9976179132920439
1736,TWSE,2100,2094,6,0.9971428571428571
1737,TWSE,2100,2094,6,0.9971428571428571
1742,TPEx,2090,2085,5,0.9976076555023924
1752,TPEx,990,986,4,0.9959595959595959
1752,TWSE,1110,0,1110,0.0
1760,TWSE,2085,2079,6,0.9971223021582734
1762,TWSE,2100,2094,6,0.9971428571428571
1773,TWSE,2100,2094,6,0.9971428571428571
1776,TWSE,2100,2094,6,0.9971428571428571
1777,TPEx,2094,2089,5,0.9976122254059216
1780,TPEx,45,44,1,0.9777777777777777
1781,TPEx,2096,2091,5,0.9976145038167938
1783,TWSE,2100,2094,6,0.9971428571428571
1784,TPEx,2100,2095,5,0.9976190476190476
1785,TPEx,2100,2095,5,0.9976190476190476
1786,TWSE,2100,2094,6,0.9971428571428571
1787,TPEx,457,454,3,0.9934354485776805
1788,TPEx,2092,2087,5,0.9976099426386233
1789,TWSE,2100,2094,6,0.9971428571428571
1795,TPEx,477,474,3,0.9937106918238994
1795,TWSE,1623,0,1623,0.0
1796,TPEx,2029,2025,4,0.9980285855101035
1799,TPEx,2092,2087,5,0.9976099426386233
1802,TWSE,2100,2094,6,0.9971428571428571
1805,TWSE,2100,2094,6,0.9971428571428571
1806,TWSE,2100,2094,6,0.9971428571428571
1808,TWSE,2100,2094,6,0.9971428571428571
1809,TWSE,2100,2094,6,0.9971428571428571
1810,TWSE,2100,2094,6,0.9971428571428571
1813,TPEx,2090,2085,5,0.9976076555023924
1815,TPEx,2100,2095,5,0.9976190476190476
1817,TWSE,2100,2100,0,1.0
1902,TWSE,585,581,4,0.9931623931623932
1903,TWSE,2100,2094,6,0.9971428571428571
1904,TWSE,2100,2094,6,0.9971428571428571
1905,TWSE,2100,2094,6,0.9971428571428571
1906,TWSE,2100,2094,6,0.9971428571428571
1907,TWSE,2100,2094,6,0.9971428571428571
1909,TWSE,2100,2094,6,0.9971428571428571
2002,TWSE,2100,2094,6,0.9971428571428571
2006,TWSE,2100,2094,6,0.9971428571428571
2007,TWSE,2100,2094,6,0.9971428571428571
2008,TWSE,2100,2094,6,0.9971428571428571
2009,TWSE,2100,2094,6,0.9971428571428571
2010,TWSE,2100,2094,6,0.9971428571428571
2012,TWSE,2100,2094,6,0.9971428571428571
2013,TWSE,2100,2094,6,0.9971428571428571
2014,TWSE,2100,2094,6,0.9971428571428571
2015,TWSE,2100,2094,6,0.9971428571428571
2017,TWSE,2100,2094,6,0.9971428571428571
2020,TWSE,2100,2094,6,0.9971428571428571
2022,TWSE,2093,2087,6,0.9971333014811276
2023,TWSE,2100,2094,6,0.9971428571428571
2024,TWSE,2100,2094,6,0.9971428571428571
2025,TWSE,1966,1961,5,0.9974567650050865
2027,TWSE,2100,2094,6,0.9971428571428571
2028,TWSE,2100,2094,6,0.9971428571428571
2029,TWSE,2100,2094,6,0.9971428571428571
2030,TWSE,2100,2094,6,0.9971428571428571
2031,TWSE,2100,2094,6,0.9971428571428571
2032,TWSE,2100,2094,6,0.9971428571428571
2033,TWSE,2100,2094,6,0.9971428571428571
2034,TWSE,2100,2094,6,0.9971428571428571
2035,TPEx,1902,1898,4,0.9978969505783386
2038,TWSE,2100,2094,6,0.9971428571428571
2049,TWSE,2100,2094,6,0.9971428571428571
2059,TWSE,2100,2094,6,0.9971428571428571
2061,TPEx,2075,2070,5,0.9975903614457832
2062,TWSE,2100,2094,6,0.9971428571428571
2063,TPEx,2095,2090,5,0.9976133651551312
2064,TPEx,1971,1966,5,0.9974632166412988
2065,TPEx,2096,2091,5,0.9976145038167938
2066,TPEx,2081,2076,5,0.9975973089860644
2067,TPEx,2040,2035,5,0.9975490196078431
2069,TWSE,2100,2094,6,0.9971428571428571
2070,TPEx,1839,1835,4,0.9978249048395867
2072,TWSE,101,100,1,0.9900990099009901
2073,TPEx,567,566,1,0.9982363315696648
2101,TWSE,2100,2094,6,0.9971428571428571
2102,TWSE,2100,2094,6,0.9971428571428571
2103,TWSE,2100,2094,6,0.9971428571428571
2104,TWSE,2100,2094,6,0.9971428571428571
2105,TWSE,2100,2094,6,0.9971428571428571
2106,TWSE,2100,2094,6,0.9971428571428571
2107,TWSE,2100,2094,6,0.9971428571428571
2108,TWSE,2100,2094,6,0.9971428571428571
2109,TWSE,2100,2094,6,0.9971428571428571
2114,TWSE,2100,2094,6,0.9971428571428571
2115,TWSE,2100,2094,6,0.9971428571428571
