date,expected_symbols,covered_symbols,coverage_pct
2018-01-02,1633,1633,1.0
2018-01-03,1633,1633,1.0
2018-01-04,1635,1635,1.0
2018-01-05,1635,1635,1.0
2018-01-08,1635,1635,1.0
2018-01-09,1635,1635,1.0
2018-01-10,1636,1636,1.0
2018-01-11,1637,1637,1.0
2018-01-12,1637,1637,1.0
2018-01-15,1637,1637,1.0
2018-01-16,1637,1637,1.0
2018-01-17,1637,1637,1.0
2018-01-18,1637,1637,1.0
2018-01-19,1637,1637,1.0
2018-01-22,1639,1639,1.0
2018-01-23,1642,1642,1.0
2018-01-24,1642,1642,1.0
2018-01-25,1642,1642,1.0
2018-01-26,1642,1642,1.0
2018-01-29,1642,1642,1.0
2018-01-30,1643,1643,1.0
2018-01-31,1643,1643,1.0
2018-02-01,1643,1643,1.0
2018-02-02,1643,1643,1.0
2018-02-05,1644,1644,1.0
2018-02-06,1644,1644,1.0
2018-02-07,1645,1645,1.0
2018-02-08,1645,1645,1.0
2018-02-09,1645,1645,1.0
2018-02-12,1645,1645,1.0
2018-02-21,1645,1645,1.0
2018-02-22,1646,1646,1.0
2018-02-23,1646,1646,1.0
2018-02-26,1646,1646,1.0
2018-02-27,1646,1646,1.0
2018-03-01,1646,1646,1.0
2018-03-02,1646,1646,1.0
2018-03-05,1646,1646,1.0
2018-03-06,1646,1646,1.0
2018-03-07,1646,1646,1.0
2018-03-08,1646,1646,1.0
2018-03-09,1646,1646,1.0
2018-03-12,1646,1646,1.0
2018-03-13,1646,1646,1.0
2018-03-14,1646,1646,1.0
2018-03-15,1646,1646,1.0
2018-03-16,1646,1646,1.0
2018-03-19,1646,1646,1.0
2018-03-20,1646,1646,1.0
2018-03-21,1646,1646,1.0
2018-03-22,1646,1646,1.0
2018-03-23,1646,1646,1.0
2018-03-26,1646,1646,1.0
2018-03-27,1646,1646,1.0
2018-03-28,1648,1648,1.0
2018-03-29,1648,1648,1.0
2018-03-30,1648,1648,1.0
2018-03-31,1648,1648,1.0
2018-04-02,1649,1649,1.0
2018-04-03,1649,1649,1.0
2018-04-09,1649,1649,1.0
2018-04-10,1649,1649,1.0
2018-04-11,1649,1649,1.0
2018-04-12,1649,1649,1.0
2018-04-13,1649,1649,1.0
2018-04-16,1652,1652,1.0
2018-04-17,1653,1653,1.0
2018-04-18,1653,1653,1.0
2018-04-19,1653,1653,1.0
2018-04-20,1653,1653,1.0
2018-04-23,1653,1653,1.0
2018-04-24,1653,1653,1.0
2018-04-25,1653,1653,1.0
2018-04-26,1654,1654,1.0
2018-04-27,1654,1654,1.0
2018-04-30,1653,1653,1.0
2018-05-02,1653,1653,1.0
2018-05-03,1653,1653,1.0
2018-05-04,1653,1653,1.0
2018-05-07,1653,1653,1.0
2018-05-08,1653,1653,1.0
2018-05-09,1653,1653,1.0
2018-05-10,1653,1653,1.0
2018-05-11,1653,1653,1.0
2018-05-14,1653,1653,1.0
2018-05-15,1653,1653,1.0
2018-05-16,1653,1653,1.0
2018-05-17,1653,1653,1.0
2018-05-18,1653,1653,1.0
2018-05-21,1653,1653,1.0
2018-05-22,1653,1653,1.0
2018-05-23,1653,1653,1.0
2018-05-24,1653,1653,1.0
2018-05-25,1653,1653,1.0
2018-05-28,1653,1653,1.0
2018-05-29,1654,1654,1.0
2018-05-30,1654,1654,1.0
2018-05-31,1653,1653,1.0
2018-06-01,1653,1653,1.0
2018-06-04,1653,1653,1.0
2018-06-05,1654,1654,1.0
2018-06-06,1654,1654,1.0
2018-06-07,1654,1654,1.0
2018-06-08,1654,1654,1.0
2018-06-11,1655,1655,1.0
2018-06-12,1655,1655,1.0
2018-06-13,1654,1654,1.0
2018-06-14,1654,1654,1.0
2018-06-15,1654,1654,1.0
2018-06-19,1654,1654,1.0
2018-06-20,1654,1654,1.0
2018-06-21,1654,1654,1.0
2018-06-22,1653,1653,1.0
2018-06-25,1653,1653,1.0
2018-06-26,1653,1653,1.0
2018-06-27,1653,1653,1.0
2018-06-28,1654,1654,1.0
2018-06-29,1655,1655,1.0
2018-07-02,1656,1656,1.0
