symbol,date_or_range,reason,source,severity
1333,2018-01-02:2020-11-17,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
1469,2018-01-02:2018-07-11,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TWSE suspendListingCsvAndHtml,BLOCKING
1597,2018-01-02:2020-12-23,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
1752,2018-01-02:2022-01-19,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
1795,2018-01-02:2019-12-16,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
2233,2018-01-02:2019-09-17,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
3092,2018-01-02:2021-05-13,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
3563,2018-01-02:2019-04-02,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
3652,2018-01-02:2022-09-21,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
4415,2018-01-02:2019-12-16,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
4736,2018-01-02:2023-12-22,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
4945,2018-01-02:2025-09-08,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
5236,2018-01-02:2026-07-16,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
5306,2018-01-02:2022-03-08,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6107,2018-01-02:2018-06-27,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6288,2018-01-02:2025-08-15,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TWSE suspendListingCsvAndHtml,BLOCKING
6423,2018-01-02:2026-01-22,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TWSE suspendListingCsvAndHtml,BLOCKING
6426,2018-01-02:2021-03-24,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6438,2018-01-02:2021-01-19,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6446,2018-01-02:2024-01-25,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6472,2018-01-02:2023-12-19,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6589,2018-01-02:2025-07-21,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6747,2018-01-02:2025-12-04,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
6806,2018-01-02:2026-06-23,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TWSE suspendListingCsvAndHtml,BLOCKING
8476,2018-01-02:2023-10-31,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TPEx company/deListed,BLOCKING
8497,2018-01-02:2020-10-30,MISSING_AUTHORITATIVE_LISTING_EVIDENCE,TWSE suspendListingCsvAndHtml,BLOCKING
