symbol,exchange,rows,first_date,last_date,duplicate_dates,invalid_ohlcv_rows,max_field_missing_ratio,missing_trading_day_ratio,has_120_days,downloaded
1240,TPEx,1945,2018-08-08,2026-08-19,0,0,0.0,0.003075345976422339,True,True
1259,TPEx,1971,2018-01-02,2026-08-17,0,0,0.0,0.05828953655040614,True,True
1264,TPEx,2051,2018-01-02,2026-08-19,0,0,0.0,0.021002386634844883,True,True
1268,TPEx,2086,2018-01-02,2026-08-19,0,0,0.0,0.0042959427207637235,True,True
1294,TPEx,458,2024-09-26,2026-08-19,0,0,0.0,0.002178649237472796,True,True
1295,TPEx,302,2025-05-27,2026-08-19,0,0,0.0,0.0,True,True
1336,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
1565,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
1569,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
1570,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
1580,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
1584,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
1586,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
1591,TPEx,2058,2018-01-02,2026-08-19,0,0,0.0,0.01766109785202863,True,True
1593,TPEx,2084,2018-01-02,2026-08-19,0,0,0.0,0.005250596658711193,True,True
1595,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
1599,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
1742,TPEx,2085,2018-01-02,2026-08-19,0,0,0.0,0.004773269689737458,True,True
1777,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
1780,TPEx,44,2026-06-17,2026-08-19,0,0,0.0,0.0,False,True
1781,TPEx,2091,2018-01-02,2026-08-18,0,0,0.0,0.0014326647564469885,True,True
1784,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
1785,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
1788,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
1796,TPEx,2025,2018-01-22,2026-08-19,0,0,0.0,0.026910139356078777,True,True
1799,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
1813,TPEx,2085,2018-01-02,2026-08-18,0,0,0.0,0.004297994269340966,True,True
1815,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
2035,TPEx,1898,2018-01-02,2026-08-19,0,0,0.0,0.09403341288782818,True,True
2061,TPEx,2070,2018-01-02,2026-08-19,0,0,0.0,0.011933174224343701,True,True
2063,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
2064,TPEx,1966,2018-01-02,2026-08-19,0,0,0.0,0.06157517899761333,True,True
2065,TPEx,2091,2018-01-02,2026-08-19,0,0,0.0,0.0019093078758949389,True,True
2066,TPEx,2076,2018-01-02,2026-08-19,0,0,0.0,0.009069212410501182,True,True
2067,TPEx,2035,2018-01-02,2026-08-19,0,0,0.0,0.02863961813842486,True,True
2070,TPEx,1835,2018-12-17,2026-08-19,0,0,0.0,0.013440860215053752,True,True
2073,TPEx,566,2023-06-21,2026-08-18,0,0,0.0,0.26205997392438074,True,True
2221,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
2230,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
2235,TPEx,1921,2018-01-02,2026-08-19,0,0,0.0,0.08305489260143195,True,True
2596,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
2640,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
2641,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
2643,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
2718,TPEx,1764,2018-01-10,2026-08-19,0,0,0.0,0.1555768310196266,True,True
2719,TPEx,1931,2018-01-03,2026-08-19,0,0,0.0,0.07784145176695323,True,True
2724,TPEx,1623,2018-01-09,2026-08-19,0,0,0.0,0.223444976076555,True,True
2726,TPEx,2076,2018-01-02,2026-08-19,0,0,0.0,0.009069212410501182,True,True
2729,TPEx,2092,2018-01-02,2026-08-19,0,0,0.0,0.0014319809069212042,True,True
2732,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
2734,TPEx,2066,2018-01-02,2026-08-19,0,0,0.0,0.01384248210023864,True,True
2736,TPEx,2075,2018-01-02,2026-08-19,0,0,0.0,0.009546539379474916,True,True
2740,TPEx,1641,2018-01-02,2026-08-19,0,0,0.0,0.21670644391408111,True,True
2743,TPEx,1568,2020-03-09,2026-08-19,0,0,0.0,0.001273885350318471,True,True
2745,TPEx,2021,2018-04-16,2026-08-19,0,0,0.0,0.00492368291482026,True,True
2751,TPEx,463,2024-09-10,2026-08-19,0,0,0.0,0.014893617021276562,True,True
2752,TPEx,1584,2019-09-25,2026-08-19,0,0,0.0,0.054892601431980936,True,True
2754,TPEx,1437,2020-09-17,2026-08-19,0,0,0.0,0.0,True,True
2755,TPEx,1365,2020-12-16,2026-08-19,0,0,0.0,0.007994186046511587,True,True
2756,TPEx,1099,2022-01-14,2026-08-19,0,0,0.0,0.011690647482014427,True,True
2916,TPEx,2034,2018-01-02,2026-08-19,0,0,0.0,0.029116945107398595,True,True
2924,TPEx,1569,2018-01-02,2026-08-19,0,0,0.0,0.2510739856801909,True,True
2926,TPEx,2081,2018-01-02,2026-08-19,0,0,0.0,0.006682577565632508,True,True
2937,TPEx,1908,2018-01-02,2026-08-19,0,0,0.0,0.08926014319809072,True,True
2941,TPEx,395,2024-03-20,2026-08-19,0,0,0.0,0.3282312925170068,True,True
2947,TPEx,1078,2021-10-06,2026-08-18,0,0,0.0,0.08721422523285349,True,True
2948,TPEx,502,2023-12-12,2026-08-19,0,0,0.0,0.22769230769230764,True,True
2949,TPEx,538,2023-12-15,2026-08-19,0,0,0.0,0.1684698608964451,True,True
3064,TPEx,1740,2018-01-02,2026-08-04,0,0,0.0,0.1650671785028791,True,True
3066,TPEx,2026,2018-01-02,2026-08-19,0,0,0.0,0.032935560859188584,True,True
3067,TPEx,1655,2018-01-03,2026-08-19,0,0,0.0,0.2096466093600764,True,True
3071,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
3073,TPEx,1775,2018-01-03,2026-08-19,0,0,0.0,0.15234001910219674,True,True
3078,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3081,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3083,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3085,TPEx,1904,2018-01-02,2026-08-19,0,0,0.0,0.09116945107398566,True,True
3086,TPEx,1915,2018-01-02,2026-08-19,0,0,0.0,0.08591885441527447,True,True
3088,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3093,TPEx,2042,2018-01-03,2026-08-19,0,0,0.0,0.024832855778414542,True,True
3095,TPEx,2034,2018-01-02,2026-08-19,0,0,0.0,0.029116945107398595,True,True
3105,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3114,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3115,TPEx,1844,2018-01-03,2026-08-19,0,0,0.0,0.1193887297039159,True,True
3118,TPEx,2067,2018-01-02,2026-08-19,0,0,0.0,0.013365155131264905,True,True
3122,TPEx,2080,2018-01-02,2026-08-19,0,0,0.0,0.007159904534606243,True,True
3128,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3131,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3141,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3147,TPEx,1999,2018-05-29,2026-08-19,0,0,0.0,0.0009995002498750516,True,True
3152,TPEx,2090,2018-01-02,2026-08-19,0,0,0.0,0.0023866348448687846,True,True
3158,TPEx,179,2025-11-17,2026-08-19,0,0,0.0,0.021857923497267784,True,True
3162,TPEx,2038,2018-01-02,2026-08-19,0,0,0.0,0.027207637231503545,True,True
3163,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3169,TPEx,2088,2018-01-02,2026-08-19,0,0,0.0,0.003341288782816254,True,True
3171,TPEx,2049,2018-01-02,2026-08-19,0,0,0.0,0.021957040572792352,True,True
3176,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3178,TPEx,1879,2018-11-19,2026-08-19,0,0,0.0,0.0005319148936170359,True,True
3188,TPEx,2072,2018-01-02,2026-08-19,0,0,0.0,0.010978520286396232,True,True
3191,TPEx,2021,2018-01-02,2026-08-19,0,0,0.0,0.03532219570405726,True,True
3205,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3206,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3207,TPEx,2009,2018-01-02,2026-08-19,0,0,0.0,0.041050119331742296,True,True
3211,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3213,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3217,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3218,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3219,TPEx,1760,2018-01-02,2026-08-19,0,0,0.0,0.15990453460620524,True,True
3221,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3224,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
3226,TPEx,1883,2018-01-02,2026-08-19,0,0,0.0,0.10119331742243431,True,True
3227,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3228,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3230,TPEx,2064,2018-01-02,2026-08-19,0,0,0.0,0.01479713603818611,True,True
3232,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3234,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
3236,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
