symbol,name,delisting_date,exchange,source,reason
1729,必翔實業,2018-01-02,TWSE,TWSE suspendListingCsvAndHtml,
2325,矽品,2018-04-30,TWSE,TWSE suspendListingCsvAndHtml,
2311,日月光,2018-04-30,TWSE,TWSE suspendListingCsvAndHtml,
1469,理隆纖維,2018-07-11,TWSE,TWSE suspendListingCsvAndHtml,
4984,科納-KY,2018-09-01,TWSE,TWSE suspendListingCsvAndHtml,
6422,君耀-KY,2018-09-28,TWSE,TWSE suspendListingCsvAndHtml,
3514,昱晶,2018-10-01,TWSE,TWSE suspendListingCsvAndHtml,
3561,昇陽光電,2018-10-01,TWSE,TWSE suspendListingCsvAndHtml,
2856,元富證券,2018-10-01,TWSE,TWSE suspendListingCsvAndHtml,
6145,勁永,2018-10-01,TWSE,TWSE suspendListingCsvAndHtml,
1704,榮化,2019-01-30,TWSE,TWSE suspendListingCsvAndHtml,
3519,綠能,2019-05-02,TWSE,TWSE suspendListingCsvAndHtml,
2475,華映,2019-05-13,TWSE,TWSE suspendListingCsvAndHtml,
3579,尚志,2019-06-26,TWSE,TWSE suspendListingCsvAndHtml,
1262,綠悅-KY,2019-10-14,TWSE,TWSE suspendListingCsvAndHtml,
9157,陽光能源-DR,2019-11-12,TWSE,TWSE suspendListingCsvAndHtml,
5259,奕智博,2020-01-09,TWSE,TWSE suspendListingCsvAndHtml,
1902,台紙,2020-06-01,TWSE,TWSE suspendListingCsvAndHtml,
8497,格威傳媒,2020-10-30,TWSE,TWSE suspendListingCsvAndHtml,
4144,康聯-KY,2020-10-30,TWSE,TWSE suspendListingCsvAndHtml,
2499,東貝,2020-11-10,TWSE,TWSE suspendListingCsvAndHtml,
5305,敦南,2020-11-30,TWSE,TWSE suspendListingCsvAndHtml,
2448,晶電,2021-01-06,TWSE,TWSE suspendListingCsvAndHtml,
3698,隆達,2021-01-06,TWSE,TWSE suspendListingCsvAndHtml,
5264,鎧勝-KY,2021-01-15,TWSE,TWSE suspendListingCsvAndHtml,
4725,信昌化,2021-01-18,TWSE,TWSE suspendListingCsvAndHtml,
6452,康友-KY,2021-04-01,TWSE,TWSE suspendListingCsvAndHtml,
6131,鈞泰,2021-07-05,TWSE,TWSE suspendListingCsvAndHtml,
1724,台硝,2021-11-01,TWSE,TWSE suspendListingCsvAndHtml,
2823,中壽,2021-12-30,TWSE,TWSE suspendListingCsvAndHtml,
2456,奇力新,2022-01-05,TWSE,TWSE suspendListingCsvAndHtml,
1592,英瑞-KY,2022-01-27,TWSE,TWSE suspendListingCsvAndHtml,
8427,基勝-KY,2022-03-03,TWSE,TWSE suspendListingCsvAndHtml,
9188,精熙-DR,2022-03-18,TWSE,TWSE suspendListingCsvAndHtml,
1507,永大,2022-04-21,TWSE,TWSE suspendListingCsvAndHtml,
4141,龍燈-KY,2022-05-03,TWSE,TWSE suspendListingCsvAndHtml,
2936,客思達-KY,2022-06-27,TWSE,TWSE suspendListingCsvAndHtml,
6172,互億,2022-06-29,TWSE,TWSE suspendListingCsvAndHtml,
2841,台開,2022-08-04,TWSE,TWSE suspendListingCsvAndHtml,
6251,定穎,2022-08-25,TWSE,TWSE suspendListingCsvAndHtml,
6289,華上,2022-09-26,TWSE,TWSE suspendListingCsvAndHtml,
3383,新世紀,2022-09-26,TWSE,TWSE suspendListingCsvAndHtml,
8480,泰昇-KY,2022-12-21,TWSE,TWSE suspendListingCsvAndHtml,
3536,誠創,2023-06-26,TWSE,TWSE suspendListingCsvAndHtml,
3682,亞太電,2023-12-15,TWSE,TWSE suspendListingCsvAndHtml,
