symbol,reason
1785,empty_history
3484,empty_history
3492,empty_history
4168,empty_history
4303,empty_history
4432,empty_history
5209,empty_history
5223,empty_history
6147,empty_history
6488,empty_history
6509,empty_history
6680,empty_history
6741,empty_history
7839,empty_history
8383,empty_history
8906,empty_history
1524,empty_history
1817,empty_history
2250,empty_history
2302,empty_history
2351,empty_history
2468,empty_history
2906,empty_history
3135,empty_history
3437,empty_history
4526,empty_history
5007,empty_history
5388,empty_history
6606,empty_history
7610,empty_history
7827,empty_history
8482,empty_history
9945,empty_history
9958,"""['open' 'high' 'low' 'close' 'volume'] not in index"""
