symbol,exchange,first_seen,last_seen,trading_days,source
1240,TPEx,2018-08-08,2026-08-19,1945,TPEX_DAILY_QUOTES
1258,TPEx,2018-01-02,2023-05-31,1252,TPEX_DAILY_QUOTES
1259,TPEx,2018-01-02,2026-08-17,1971,TPEX_DAILY_QUOTES
1264,TPEx,2018-01-02,2026-08-19,2051,TPEX_DAILY_QUOTES
1268,TPEx,2018-01-02,2026-08-19,2086,TPEX_DAILY_QUOTES
1294,TPEx,2024-09-26,2026-08-19,458,TPEX_STK_WN1430
1295,TPEx,2025-05-27,2026-08-19,302,TPEX_STK_WN1430
1333,TPEx,2018-01-03,2020-04-06,443,TPEX_DAILY_QUOTES
1336,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
1565,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
1566,TPEx,2018-01-02,2019-07-24,377,TPEX_DAILY_QUOTES
1569,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
1570,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
1580,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
1584,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
1586,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
1591,TPEx,2018-01-02,2026-08-19,2058,TPEX_DAILY_QUOTES
1593,TPEx,2018-01-02,2026-08-19,2084,TPEX_DAILY_QUOTES
1595,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
1597,TPEx,2018-01-02,2020-12-22,724,TPEX_DAILY_QUOTES
1599,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
1742,TPEx,2018-01-02,2026-08-19,2085,TPEX_DAILY_QUOTES
1752,TPEx,2018-01-02,2022-01-18,986,TPEX_DAILY_QUOTES
1777,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
1780,TPEx,2026-06-17,2026-08-19,44,TPEX_STK_WN1430
1781,TPEx,2018-01-02,2026-08-18,2091,TPEX_DAILY_QUOTES
1784,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
1785,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
1787,TPEx,2018-01-02,2019-11-20,454,TPEX_DAILY_QUOTES
1788,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
1795,TPEx,2018-01-02,2019-12-13,474,TPEX_DAILY_QUOTES
1796,TPEx,2018-01-22,2026-08-19,2025,TPEX_DAILY_QUOTES
1799,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
1813,TPEx,2018-01-02,2026-08-18,2085,TPEX_DAILY_QUOTES
1815,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
2035,TPEx,2018-01-02,2026-08-19,1898,TPEX_DAILY_QUOTES
2061,TPEx,2018-01-02,2026-08-19,2070,TPEX_DAILY_QUOTES
2063,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
2064,TPEx,2018-01-02,2026-08-19,1966,TPEX_DAILY_QUOTES
2065,TPEx,2018-01-02,2026-08-19,2091,TPEX_DAILY_QUOTES
2066,TPEx,2018-01-02,2026-08-19,2076,TPEX_DAILY_QUOTES
2067,TPEx,2018-01-02,2026-08-19,2035,TPEX_DAILY_QUOTES
