symbol,exchange,start_date,end_date,status,source
6225,TWSE,2026-08-20,2026-08-26,DISPOSITION,TWSE_announcement_punish
7795,TWSE,2026-08-18,2026-08-24,DISPOSITION,TWSE_announcement_punish
8033,TWSE,2026-08-18,2026-08-24,DISPOSITION,TWSE_announcement_punish
6225,TWSE,2026-08-17,2026-08-21,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-08-14,2026-08-20,DISPOSITION,TWSE_announcement_punish
6213,TWSE,2026-08-14,2026-08-20,DISPOSITION,TWSE_announcement_punish
7711,TWSE,2026-08-13,2026-08-19,DISPOSITION,TWSE_announcement_punish
6426,TWSE,2026-08-12,2026-08-18,DISPOSITION,TWSE_announcement_punish
2491,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
3006,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
3450,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
6213,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
6451,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
6531,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
8021,TWSE,2026-08-11,2026-08-17,DISPOSITION,TWSE_announcement_punish
2059,TWSE,2026-08-10,2026-08-14,DISPOSITION,TWSE_announcement_punish
2455,TWSE,2026-08-10,2026-08-14,DISPOSITION,TWSE_announcement_punish
3037,TWSE,2026-08-10,2026-08-14,DISPOSITION,TWSE_announcement_punish
3189,TWSE,2026-08-10,2026-08-14,DISPOSITION,TWSE_announcement_punish
3653,TWSE,2026-08-10,2026-08-14,DISPOSITION,TWSE_announcement_punish
8046,TWSE,2026-08-03,2026-08-18,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-08-03,2026-08-14,DISPOSITION,TWSE_announcement_punish
4169,TWSE,2026-08-03,2026-08-14,DISPOSITION,TWSE_announcement_punish
6531,TWSE,2026-08-03,2026-08-14,DISPOSITION,TWSE_announcement_punish
1515,TWSE,2026-07-31,2026-08-13,DISPOSITION,TWSE_announcement_punish
3055,TWSE,2026-07-31,2026-08-13,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-07-31,2026-08-13,DISPOSITION,TWSE_announcement_punish
3532,TWSE,2026-07-31,2026-08-13,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-07-30,2026-08-12,DISPOSITION,TWSE_announcement_punish
6969,TWSE,2026-07-28,2026-08-10,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-07-27,2026-08-07,DISPOSITION,TWSE_announcement_punish
8033,TWSE,2026-07-27,2026-08-07,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-07-24,2026-08-06,DISPOSITION,TWSE_announcement_punish
8028,TWSE,2026-07-23,2026-08-05,DISPOSITION,TWSE_announcement_punish
2483,TWSE,2026-07-22,2026-08-04,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-07-22,2026-08-04,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-07-21,2026-08-03,DISPOSITION,TWSE_announcement_punish
2434,TWSE,2026-07-20,2026-07-31,DISPOSITION,TWSE_announcement_punish
3090,TWSE,2026-07-20,2026-07-31,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-07-16,2026-07-29,DISPOSITION,TWSE_announcement_punish
6831,TWSE,2026-07-15,2026-07-28,DISPOSITION,TWSE_announcement_punish
2434,TWSE,2026-07-15,2026-07-28,DISPOSITION,TWSE_announcement_punish
4169,TWSE,2026-07-10,2026-07-23,DISPOSITION,TWSE_announcement_punish
8261,TWSE,2026-07-09,2026-07-24,DISPOSITION,TWSE_announcement_punish
3055,TWSE,2026-07-09,2026-07-22,DISPOSITION,TWSE_announcement_punish
2466,TWSE,2026-07-08,2026-07-21,DISPOSITION,TWSE_announcement_punish
1515,TWSE,2026-07-07,2026-07-20,DISPOSITION,TWSE_announcement_punish
1718,TWSE,2026-07-07,2026-07-20,DISPOSITION,TWSE_announcement_punish
1447,TWSE,2026-07-06,2026-07-17,DISPOSITION,TWSE_announcement_punish
1617,TWSE,2026-07-06,2026-07-17,DISPOSITION,TWSE_announcement_punish
3055,TWSE,2026-07-06,2026-07-17,DISPOSITION,TWSE_announcement_punish
7795,TWSE,2026-07-06,2026-07-17,DISPOSITION,TWSE_announcement_punish
1435,TWSE,2026-07-03,2026-07-16,DISPOSITION,TWSE_announcement_punish
3189,TWSE,2026-07-03,2026-07-16,DISPOSITION,TWSE_announcement_punish
6226,TWSE,2026-07-03,2026-07-16,DISPOSITION,TWSE_announcement_punish
8033,TWSE,2026-07-03,2026-07-16,DISPOSITION,TWSE_announcement_punish
8021,TWSE,2026-07-03,2026-07-16,DISPOSITION,TWSE_announcement_punish
2303,TWSE,2026-07-02,2026-07-15,DISPOSITION,TWSE_announcement_punish
2233,TWSE,2026-06-30,2026-07-13,DISPOSITION,TWSE_announcement_punish
2483,TWSE,2026-06-30,2026-07-13,DISPOSITION,TWSE_announcement_punish
3450,TWSE,2026-06-30,2026-07-13,DISPOSITION,TWSE_announcement_punish
6226,TWSE,2026-06-30,2026-07-13,DISPOSITION,TWSE_announcement_punish
1435,TWSE,2026-06-30,2026-07-13,DISPOSITION,TWSE_announcement_punish
6243,TWSE,2026-06-29,2026-07-10,DISPOSITION,TWSE_announcement_punish
2481,TWSE,2026-06-26,2026-07-09,DISPOSITION,TWSE_announcement_punish
6141,TWSE,2026-06-26,2026-07-09,DISPOSITION,TWSE_announcement_punish
6834,TWSE,2026-06-26,2026-07-09,DISPOSITION,TWSE_announcement_punish
6715,TWSE,2026-06-25,2026-07-08,DISPOSITION,TWSE_announcement_punish
2316,TWSE,2026-06-25,2026-07-08,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
4764,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
6415,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
8996,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
1303,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
2305,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
2342,TWSE,2026-06-24,2026-07-07,DISPOSITION,TWSE_announcement_punish
3090,TWSE,2026-06-23,2026-07-08,DISPOSITION,TWSE_announcement_punish
4551,TWSE,2026-06-23,2026-07-06,DISPOSITION,TWSE_announcement_punish
2243,TWSE,2026-06-23,2026-07-06,DISPOSITION,TWSE_announcement_punish
1714,TWSE,2026-06-22,2026-07-03,DISPOSITION,TWSE_announcement_punish
2455,TWSE,2026-06-22,2026-07-03,DISPOSITION,TWSE_announcement_punish
2478,TWSE,2026-06-22,2026-07-03,DISPOSITION,TWSE_announcement_punish
3532,TWSE,2026-06-22,2026-07-03,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-06-18,2026-07-02,DISPOSITION,TWSE_announcement_punish
2493,TWSE,2026-06-18,2026-07-02,DISPOSITION,TWSE_announcement_punish
2383,TWSE,2026-06-18,2026-07-02,DISPOSITION,TWSE_announcement_punish
2243,TWSE,2026-06-17,2026-07-01,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-06-17,2026-07-01,DISPOSITION,TWSE_announcement_punish
1714,TWSE,2026-06-16,2026-06-30,DISPOSITION,TWSE_announcement_punish
8021,TWSE,2026-06-16,2026-06-30,DISPOSITION,TWSE_announcement_punish
6830,TWSE,2026-06-15,2026-06-29,DISPOSITION,TWSE_announcement_punish
6924,TWSE,2026-06-15,2026-06-29,DISPOSITION,TWSE_announcement_punish
6890,TWSE,2026-06-12,2026-06-26,DISPOSITION,TWSE_announcement_punish
8454,TWSE,2026-06-10,2026-06-24,DISPOSITION,TWSE_announcement_punish
6890,TWSE,2026-06-09,2026-06-23,DISPOSITION,TWSE_announcement_punish
1718,TWSE,2026-06-08,2026-06-22,DISPOSITION,TWSE_announcement_punish
3149,TWSE,2026-06-08,2026-06-22,DISPOSITION,TWSE_announcement_punish
6442,TWSE,2026-06-08,2026-06-22,DISPOSITION,TWSE_announcement_punish
4807,TWSE,2026-06-08,2026-06-22,DISPOSITION,TWSE_announcement_punish
2491,TWSE,2026-06-08,2026-06-22,DISPOSITION,TWSE_announcement_punish
3535,TWSE,2026-06-05,2026-06-18,DISPOSITION,TWSE_announcement_punish
8454,TWSE,2026-06-05,2026-06-18,DISPOSITION,TWSE_announcement_punish
1409,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
1568,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
3021,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
3346,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
3481,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
6116,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-06-04,2026-06-17,DISPOSITION,TWSE_announcement_punish
1563,TWSE,2026-06-03,2026-06-16,DISPOSITION,TWSE_announcement_punish
2337,TWSE,2026-06-03,2026-06-16,DISPOSITION,TWSE_announcement_punish
2302,TWSE,2026-06-02,2026-06-15,DISPOSITION,TWSE_announcement_punish
3528,TWSE,2026-06-02,2026-06-15,DISPOSITION,TWSE_announcement_punish
6770,TWSE,2026-06-02,2026-06-15,DISPOSITION,TWSE_announcement_punish
1568,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
2375,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
2472,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
3021,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
6116,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
6449,TWSE,2026-06-01,2026-06-12,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-05-29,2026-06-11,DISPOSITION,TWSE_announcement_punish
3532,TWSE,2026-05-29,2026-06-11,DISPOSITION,TWSE_announcement_punish
6239,TWSE,2026-05-29,2026-06-11,DISPOSITION,TWSE_announcement_punish
6405,TWSE,2026-05-29,2026-06-11,DISPOSITION,TWSE_announcement_punish
6806,TWSE,2026-05-29,2026-06-11,DISPOSITION,TWSE_announcement_punish
2911,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
3189,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
4919,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
4958,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
6271,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
6834,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
6906,TWSE,2026-05-28,2026-06-10,DISPOSITION,TWSE_announcement_punish
2455,TWSE,2026-05-27,2026-06-09,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-05-27,2026-06-09,DISPOSITION,TWSE_announcement_punish
3090,TWSE,2026-05-27,2026-06-09,DISPOSITION,TWSE_announcement_punish
2327,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
2424,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
2478,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
4722,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
4916,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
6806,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
8021,TWSE,2026-05-26,2026-06-08,DISPOSITION,TWSE_announcement_punish
6742,TWSE,2026-05-25,2026-06-05,DISPOSITION,TWSE_announcement_punish
6834,TWSE,2026-05-25,2026-06-05,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-05-25,2026-06-05,DISPOSITION,TWSE_announcement_punish
2911,TWSE,2026-05-25,2026-06-05,DISPOSITION,TWSE_announcement_punish
3090,TWSE,2026-05-22,2026-06-04,DISPOSITION,TWSE_announcement_punish
6449,TWSE,2026-05-22,2026-06-04,DISPOSITION,TWSE_announcement_punish
6806,TWSE,2026-05-21,2026-06-03,DISPOSITION,TWSE_announcement_punish
3008,TWSE,2026-05-20,2026-06-02,DISPOSITION,TWSE_announcement_punish
3665,TWSE,2026-05-20,2026-06-02,DISPOSITION,TWSE_announcement_punish
6924,TWSE,2026-05-20,2026-06-02,DISPOSITION,TWSE_announcement_punish
6449,TWSE,2026-05-19,2026-06-01,DISPOSITION,TWSE_announcement_punish
3135,TWSE,2026-05-18,2026-05-29,DISPOSITION,TWSE_announcement_punish
2492,TWSE,2026-05-15,2026-05-28,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-05-15,2026-05-28,DISPOSITION,TWSE_announcement_punish
6831,TWSE,2026-05-15,2026-05-28,DISPOSITION,TWSE_announcement_punish
8114,TWSE,2026-05-15,2026-05-28,DISPOSITION,TWSE_announcement_punish
7769,TWSE,2026-05-14,2026-05-27,DISPOSITION,TWSE_announcement_punish
1809,TWSE,2026-05-13,2026-05-26,DISPOSITION,TWSE_announcement_punish
2059,TWSE,2026-05-13,2026-05-26,DISPOSITION,TWSE_announcement_punish
3450,TWSE,2026-05-13,2026-05-26,DISPOSITION,TWSE_announcement_punish
3653,TWSE,2026-05-13,2026-05-26,DISPOSITION,TWSE_announcement_punish
3016,TWSE,2026-05-12,2026-05-25,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-05-12,2026-05-25,DISPOSITION,TWSE_announcement_punish
3532,TWSE,2026-05-11,2026-05-22,DISPOSITION,TWSE_announcement_punish
6405,TWSE,2026-05-11,2026-05-22,DISPOSITION,TWSE_announcement_punish
2426,TWSE,2026-05-08,2026-05-21,DISPOSITION,TWSE_announcement_punish
3030,TWSE,2026-05-08,2026-05-21,DISPOSITION,TWSE_announcement_punish
6861,TWSE,2026-05-08,2026-05-21,DISPOSITION,TWSE_announcement_punish
1597,TWSE,2026-05-07,2026-05-20,DISPOSITION,TWSE_announcement_punish
2233,TWSE,2026-05-07,2026-05-20,DISPOSITION,TWSE_announcement_punish
2454,TWSE,2026-05-07,2026-05-20,DISPOSITION,TWSE_announcement_punish
2486,TWSE,2026-05-07,2026-05-20,DISPOSITION,TWSE_announcement_punish
3016,TWSE,2026-05-07,2026-05-20,DISPOSITION,TWSE_announcement_punish
4764,TWSE,2026-05-07,2026-05-20,DISPOSITION,TWSE_announcement_punish
2455,TWSE,2026-05-06,2026-05-19,DISPOSITION,TWSE_announcement_punish
6405,TWSE,2026-05-06,2026-05-19,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-05-05,2026-05-18,DISPOSITION,TWSE_announcement_punish
6658,TWSE,2026-05-05,2026-05-18,DISPOSITION,TWSE_announcement_punish
6861,TWSE,2026-05-05,2026-05-18,DISPOSITION,TWSE_announcement_punish
6658,TWSE,2026-04-29,2026-05-13,DISPOSITION,TWSE_announcement_punish
6861,TWSE,2026-04-29,2026-05-13,DISPOSITION,TWSE_announcement_punish
7711,TWSE,2026-04-29,2026-05-13,DISPOSITION,TWSE_announcement_punish
2429,TWSE,2026-04-28,2026-05-12,DISPOSITION,TWSE_announcement_punish
6443,TWSE,2026-04-28,2026-05-12,DISPOSITION,TWSE_announcement_punish
6531,TWSE,2026-04-27,2026-05-11,DISPOSITION,TWSE_announcement_punish
8021,TWSE,2026-04-27,2026-05-11,DISPOSITION,TWSE_announcement_punish
1623,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
1711,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
1721,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
3229,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
3653,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
6415,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
6861,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
8271,TWSE,2026-04-24,2026-05-08,DISPOSITION,TWSE_announcement_punish
6213,TWSE,2026-04-23,2026-05-11,DISPOSITION,TWSE_announcement_punish
3518,TWSE,2026-04-23,2026-05-07,DISPOSITION,TWSE_announcement_punish
4960,TWSE,2026-04-23,2026-05-07,DISPOSITION,TWSE_announcement_punish
2484,TWSE,2026-04-22,2026-05-06,DISPOSITION,TWSE_announcement_punish
4919,TWSE,2026-04-22,2026-05-06,DISPOSITION,TWSE_announcement_punish
4956,TWSE,2026-04-22,2026-05-06,DISPOSITION,TWSE_announcement_punish
6141,TWSE,2026-04-22,2026-05-06,DISPOSITION,TWSE_announcement_punish
6442,TWSE,2026-04-22,2026-05-06,DISPOSITION,TWSE_announcement_punish
3042,TWSE,2026-04-21,2026-05-05,DISPOSITION,TWSE_announcement_punish
3229,TWSE,2026-04-21,2026-05-05,DISPOSITION,TWSE_announcement_punish
4764,TWSE,2026-04-21,2026-05-05,DISPOSITION,TWSE_announcement_punish
6456,TWSE,2026-04-21,2026-05-05,DISPOSITION,TWSE_announcement_punish
8438,TWSE,2026-04-21,2026-05-05,DISPOSITION,TWSE_announcement_punish
2923,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
3714,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
4960,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
6224,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
6278,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
6451,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-04-20,2026-05-04,DISPOSITION,TWSE_announcement_punish
3443,TWSE,2026-04-17,2026-04-30,DISPOSITION,TWSE_announcement_punish
3593,TWSE,2026-04-17,2026-04-30,DISPOSITION,TWSE_announcement_punish
4989,TWSE,2026-04-17,2026-04-30,DISPOSITION,TWSE_announcement_punish
6949,TWSE,2026-04-17,2026-04-30,DISPOSITION,TWSE_announcement_punish
3042,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
3167,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
3532,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
4569,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
4576,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
4764,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
4949,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
6806,TWSE,2026-04-16,2026-04-29,DISPOSITION,TWSE_announcement_punish
2426,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
2467,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
2486,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
2489,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
3026,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
6451,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
7610,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
8021,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
8996,TWSE,2026-04-15,2026-04-28,DISPOSITION,TWSE_announcement_punish
3037,TWSE,2026-04-14,2026-04-27,DISPOSITION,TWSE_announcement_punish
3583,TWSE,2026-04-14,2026-04-27,DISPOSITION,TWSE_announcement_punish
6443,TWSE,2026-04-14,2026-04-27,DISPOSITION,TWSE_announcement_punish
6830,TWSE,2026-04-14,2026-04-27,DISPOSITION,TWSE_announcement_punish
