symbol,exchange,first_seen,last_seen,trading_days,source,universe_reason,data_status
1240,TPEx,2018-08-08,2026-08-19,1945,TPEx STK_WN1430,observed in official daily market table,READY
1258,TPEx,2018-01-02,2023-05-31,1252,TPEx STK_WN1430,observed in official daily market table,READY
1259,TPEx,2018-01-02,2026-08-17,1971,TPEx STK_WN1430,observed in official daily market table,READY
1264,TPEx,2018-01-02,2026-08-19,2051,TPEx STK_WN1430,observed in official daily market table,READY
1268,TPEx,2018-01-02,2026-08-19,2086,TPEx STK_WN1430,observed in official daily market table,READY
1294,TPEx,2024-09-26,2026-08-19,458,TPEx STK_WN1430,observed in official daily market table,READY
1295,TPEx,2025-05-27,2026-08-19,302,TPEx STK_WN1430,observed in official daily market table,READY
1333,TPEx,2018-01-03,2020-04-06,443,TPEx STK_WN1430,observed in official daily market table,READY
1336,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
1565,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
1566,TPEx,2018-01-02,2019-07-24,377,TPEx STK_WN1430,observed in official daily market table,READY
1569,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
1570,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
1580,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
1584,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
1586,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
1591,TPEx,2018-01-02,2026-08-19,2058,TPEx STK_WN1430,observed in official daily market table,READY
1593,TPEx,2018-01-02,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
1595,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
1599,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
1742,TPEx,2018-01-02,2026-08-19,2085,TPEx STK_WN1430,observed in official daily market table,READY
1777,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
1780,TPEx,2026-06-17,2026-08-19,44,TPEx STK_WN1430,observed in official daily market table,EXCLUDE_INSUFFICIENT_HISTORY
1781,TPEx,2018-01-02,2026-08-18,2091,TPEx STK_WN1430,observed in official daily market table,READY
1784,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
1785,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
1787,TPEx,2018-01-02,2019-11-20,454,TPEx STK_WN1430,observed in official daily market table,READY
1788,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
1796,TPEx,2018-01-22,2026-08-19,2025,TPEx STK_WN1430,observed in official daily market table,READY
1799,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
1813,TPEx,2018-01-02,2026-08-18,2085,TPEx STK_WN1430,observed in official daily market table,READY
1815,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
2035,TPEx,2018-01-02,2026-08-19,1898,TPEx STK_WN1430,observed in official daily market table,READY
2061,TPEx,2018-01-02,2026-08-19,2070,TPEx STK_WN1430,observed in official daily market table,READY
2063,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
2064,TPEx,2018-01-02,2026-08-19,1966,TPEx STK_WN1430,observed in official daily market table,READY
2065,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
2066,TPEx,2018-01-02,2026-08-19,2076,TPEx STK_WN1430,observed in official daily market table,READY
2067,TPEx,2018-01-02,2026-08-19,2035,TPEx STK_WN1430,observed in official daily market table,READY
2070,TPEx,2018-12-17,2026-08-19,1835,TPEx STK_WN1430,observed in official daily market table,READY
2073,TPEx,2023-06-21,2026-08-18,566,TPEx STK_WN1430,observed in official daily market table,READY
2221,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
2230,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
2235,TPEx,2018-01-02,2026-08-19,1921,TPEx STK_WN1430,observed in official daily market table,READY
2596,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
2640,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
2641,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
