symbol,date,open_research,high_research,low_research,close_research,volume_research,open_shioaji,high_shioaji,low_shioaji,close_shioaji,volume_shioaji,turnover,open_relative_diff,high_relative_diff,low_relative_diff,close_relative_diff,volume_relative_diff
1240,2026-05-25,57.5,57.8,57.5,57.7,11000.0,57.5,57.8,57.5,57.7,11,633400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-05-26,57.5,57.7,57.5,57.7,13000.0,57.5,57.7,57.5,57.7,13,748000.0,0.0,0.0,0.0,0.0,999.0
1240,2026-05-27,58.3,58.5,57.8,57.8,7000.0,58.3,58.5,57.8,57.8,7,407800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-05-28,57.5,57.6,57.0,57.3,46000.0,57.5,57.6,57.0,57.3,46,2634600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-05-29,57.6,57.6,57.3,57.3,2000.0,57.6,57.6,57.3,57.3,2,114900.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-01,57.3,57.7,57.3,57.3,14000.0,57.3,57.7,57.3,57.3,14,803600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-02,57.0,57.2,56.9,57.2,24000.0,57.0,57.2,56.9,57.2,24,1368500.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-03,57.5,57.5,57.1,57.2,11000.0,57.5,57.5,57.1,57.2,11,630300.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-04,57.3,57.5,57.3,57.4,9000.0,57.3,57.5,57.3,57.4,9,516400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-05,57.3,57.4,57.3,57.3,16000.0,57.3,57.4,57.3,57.3,16,917300.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-08,57.3,57.3,57.0,57.3,13000.0,57.3,57.3,57.0,57.3,13,742200.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-09,57.9,58.0,57.6,57.9,12000.0,57.9,58.0,57.6,57.9,12,693900.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-10,58.0,58.0,57.7,57.7,11000.0,58.0,58.0,57.7,57.7,11,636900.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-11,57.8,57.8,57.8,57.8,3000.0,57.8,57.8,57.8,57.8,3,173400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-12,57.9,58.5,57.9,58.5,12000.0,57.9,58.5,57.9,58.5,12,697800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-15,58.1,58.1,57.6,58.0,24000.0,58.1,58.1,57.6,58.0,24,1389400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-16,58.1,58.3,58.1,58.2,7000.0,58.1,58.3,58.1,58.2,7,407300.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-17,58.2,58.4,58.2,58.3,12000.0,58.2,58.4,58.2,58.3,12,699400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-18,58.5,58.5,58.3,58.4,10000.0,58.5,58.5,58.3,58.4,10,583600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-22,58.3,58.4,58.3,58.3,12000.0,58.3,58.4,58.3,58.3,12,699700.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-23,58.3,58.4,58.3,58.4,13000.0,58.3,58.4,58.3,58.4,13,758200.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-24,58.3,58.3,58.0,58.3,10000.0,58.3,58.3,58.0,58.3,10,581900.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-25,58.1,58.1,57.1,57.8,33000.0,58.1,58.1,57.1,57.8,33,1892400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-26,58.0,58.0,57.7,57.7,6000.0,58.0,58.0,57.7,57.7,6,347400.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-29,57.6,57.8,57.5,57.5,5000.0,57.6,57.8,57.5,57.5,5,288100.0,0.0,0.0,0.0,0.0,999.0
1240,2026-06-30,57.5,57.5,57.5,57.5,1000.0,57.5,57.5,57.5,57.5,1,57500.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-01,57.6,58.0,57.6,58.0,13000.0,57.6,58.0,57.6,58.0,13,752900.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-02,58.0,58.0,58.0,58.0,17000.0,58.0,58.0,58.0,58.0,17,986000.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-03,58.0,58.2,58.0,58.2,5000.0,58.0,58.2,58.0,58.2,5,290700.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-06,58.5,58.5,58.4,58.5,12000.0,58.5,58.5,58.4,58.5,12,701900.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-07,58.4,58.4,56.8,57.9,20000.0,58.4,58.4,56.8,57.9,20,1154600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-08,58.4,58.5,56.7,57.8,28000.0,58.4,58.5,56.7,57.8,28,1608800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-09,57.8,58.0,57.7,57.8,19000.0,57.8,58.0,57.7,57.8,19,1098800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-13,57.8,58.3,57.8,58.3,33000.0,57.8,58.3,57.8,58.3,33,1915800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-14,58.4,58.4,57.6,58.1,54000.0,58.4,58.4,57.6,58.1,54,3128700.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-15,55.1,55.3,54.6,55.1,22000.0,55.1,55.3,54.6,55.1,22,1210300.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-16,55.4,55.5,55.3,55.5,10000.0,55.4,55.5,55.3,55.5,10,553500.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-17,55.5,55.5,54.7,54.7,15000.0,55.5,55.5,54.7,54.7,15,824200.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-20,54.7,55.2,54.7,55.0,33000.0,54.7,55.2,54.7,55.0,33,1816500.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-21,54.8,55.4,54.8,55.4,12000.0,54.8,55.4,54.8,55.4,12,661600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-22,55.4,55.5,55.1,55.1,3000.0,55.4,55.5,55.1,55.1,3,166000.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-23,55.3,55.3,55.2,55.2,3000.0,55.3,55.3,55.2,55.2,3,165800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-24,54.9,54.9,54.7,54.7,8000.0,54.9,54.9,54.7,54.7,8,438200.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-27,54.7,55.2,54.5,54.5,17000.0,54.7,55.2,54.5,54.5,17,930000.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-28,55.1,55.1,54.4,54.4,11000.0,55.1,55.1,54.4,54.4,11,601000.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-29,54.1,54.1,53.6,53.6,5000.0,54.1,54.1,53.6,53.6,5,269800.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-30,53.4,54.0,53.3,53.7,8000.0,53.4,54.0,53.3,53.7,8,428600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-07-31,54.5,55.3,54.5,55.2,28000.0,54.5,55.3,54.5,55.2,28,1539600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-08-03,55.0,55.4,55.0,55.4,4000.0,55.0,55.4,55.0,55.4,4,220700.0,0.0,0.0,0.0,0.0,999.0
1240,2026-08-04,54.9,55.4,54.5,55.2,25000.0,54.9,55.4,54.5,55.2,25,1369600.0,0.0,0.0,0.0,0.0,999.0
1240,2026-08-05,55.1,55.1,55.1,55.1,13000.0,55.1,55.1,55.1,55.1,13,716300.0,0.0,0.0,0.0,0.0,999.0
1240,2026-08-06,55.0,55.0,55.0,55.0,1000.0,55.0,55.0,55.0,55.0,1,55000.0,0.0,0.0,0.0,0.0,999.0
1240,2026-08-07,55.0,55.0,54.8,54.8,3000.0,55.0,55.0,54.8,54.8,3,164800.0,0.0,0.0,0.0,0.0,999.0
