symbol,name,exchange,listing_date,registration,industry_code,preferred_shares,source,instrument_type,is_ky,point_in_time_complete,is_suspended,is_disposition,is_full_cash_delivery,snapshot_date
1240,茂生農經,TPEx,2018-08-08,－,33,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1259,安心,TPEx,2011-12-15,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1264,德麥,TPEx,2015-04-09,－,02,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1268,漢來美食,TPEx,2017-09-27,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1294,漢田生技,TPEx,2024-09-26,－,02,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1295,生合,TPEx,2025-05-27,－,02,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1336,台翰,TPEx,2007-11-02,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1565,精華,TPEx,2004-03-30,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1569,濱川,TPEx,2005-07-29,－,25,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1570,力肯,TPEx,2005-06-30,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1580,新麥,TPEx,2007-12-10,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1584,精剛,TPEx,2007-11-28,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1586,和勤,TPEx,2012-01-09,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1591,駿吉-KY,TPEx,2012-03-23,KY 開曼群島,05,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
1593,祺驊,TPEx,2012-06-13,－,37,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1595,川寶,TPEx,2011-10-04,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1599,宏佳騰,TPEx,2012-12-25,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1742,台蠟,TPEx,2004-05-14,－,21,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1777,生泰,TPEx,2005-10-19,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1780,立弘,TPEx,2026-06-17,－,02,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1781,合世,TPEx,2004-12-24,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1784,訊聯,TPEx,2007-07-26,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1785,光洋科,TPEx,2005-01-31,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1788,杏昌,TPEx,2009-07-20,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,True,False,False,2026-08-21
1796,金穎生技,TPEx,2018-01-22,－,02,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1799,易威,TPEx,2008-11-10,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,True,False,False,2026-08-21
1813,寶利徠,TPEx,2009-08-04,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
1815,富喬,TPEx,2006-01-23,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2035,唐榮公司,TPEx,2006-07-07,－,10,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2061,風青,TPEx,2010-12-09,－,06,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2063,世鎧精密,TPEx,2010-09-07,－,10,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2064,晉椿,TPEx,2014-12-26,－,10,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2065,世豐,TPEx,2017-04-21,－,10,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2066,世德,TPEx,2013-09-24,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2067,嘉鋼,TPEx,2014-05-26,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,True,2026-08-21
2070,精湛,TPEx,2018-12-17,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2073,雄順,TPEx,2023-06-21,－,10,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2221,大甲,TPEx,2007-08-01,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2230,泰茂,TPEx,2013-04-18,－,38,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2235,謚源,TPEx,2014-12-15,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2596,綠意,TPEx,2009-06-01,－,14,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2640,大車隊,TPEx,2012-11-07,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2641,正德,TPEx,2014-10-09,－,15,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2643,捷迅,TPEx,2016-03-04,－,15,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2718,全心投控,TPEx,2011-03-29,－,14,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2719,燦星旅,TPEx,2012-02-24,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2724,藝舍-KY,TPEx,2012-05-29,KY 開曼群島,20,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
2726,雅茗-KY,TPEx,2014-12-24,KY 開曼群島,16,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
2729,瓦城,TPEx,2012-09-17,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2732,六角,TPEx,2015-01-20,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2734,易飛網,TPEx,2013-12-26,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2736,富野,TPEx,2016-01-06,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2740,華軒,TPEx,2015-12-24,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2743,山富,TPEx,2020-03-09,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2745,五福,TPEx,2018-04-16,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2751,王座,TPEx,2024-09-10,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
2752,豆府,TPEx,2019-09-25,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
