symbol,security_type,exchange,name,category,unit,trading_suspended,disposition_level,attention_flag,settlement_type,reference,update_date,source,retrieved_at
1240,STK,OTC,茂生農經,33,1000.0,False,0.0,False,0,57.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.223332
1259,STK,OTC,安心,16,1000.0,False,0.0,False,0,65.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.224922
1264,STK,OTC,德麥,02,1000.0,False,0.0,False,0,256.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.224922
1268,STK,OTC,漢來美食,16,1000.0,False,0.0,False,0,181.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.224922
1294,STK,OTC,漢田生技,02,1000.0,False,0.0,False,0,56.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.224922
1295,STK,OTC,生合,02,1000.0,False,0.0,False,0,45.85,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.225856
1336,STK,OTC,台翰,28,1000.0,False,0.0,False,0,17.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.225856
1565,STK,OTC,精華,22,1000.0,False,0.0,False,0,94.9,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.225856
1569,STK,OTC,濱川,25,1000.0,False,0.0,False,0,43.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.226365
1570,STK,OTC,力肯,05,1000.0,False,0.0,False,0,33.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.226365
1580,STK,OTC,新麥,05,1000.0,False,0.0,False,0,107.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.226365
1584,STK,OTC,精剛,20,1000.0,False,0.0,False,0,17.75,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.226977
1586,STK,OTC,和勤,05,1000.0,False,0.0,False,0,18.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.226977
1591,STK,OTC,駿吉-KY,05,1000.0,False,0.0,False,0,35.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.226977
1593,STK,OTC,祺驊,37,1000.0,False,0.0,False,0,31.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.227486
1595,STK,OTC,川寶,24,1000.0,False,0.0,False,0,62.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.227486
1599,STK,OTC,宏佳騰,05,1000.0,False,0.0,False,0,23.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.227486
1742,STK,OTC,台蠟,21,1000.0,False,0.0,False,0,18.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.227486
1777,STK,OTC,生泰,22,1000.0,False,0.0,False,0,74.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.227486
1780,STK,OTC,立弘,02,1000.0,False,0.0,False,0,24.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.229031
1781,STK,OTC,合世,22,1000.0,False,0.0,False,0,10.9,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.229031
1784,STK,OTC,訊聯,22,1000.0,False,0.0,False,0,60.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.229031
1785,STK,OTC,光洋科,31,1000.0,False,0.0,False,0,101.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.229031
1788,STK,OTC,杏昌,22,1000.0,False,0.0,False,0,130.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.229031
1796,STK,OTC,金穎生技,02,1000.0,False,0.0,False,0,29.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.229031
1799,STK,OTC,易威,22,1000.0,False,0.0,False,0,29.95,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
1813,STK,OTC,寶利徠,22,1000.0,False,0.0,False,0,11.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
1815,STK,OTC,富喬,28,1000.0,False,0.0,False,0,98.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
2035,STK,OTC,唐榮,10,1000.0,False,0.0,False,0,27.15,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
2061,STK,OTC,風青,06,1000.0,False,0.0,False,0,48.85,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
2063,STK,OTC,世鎧,10,1000.0,False,0.0,False,0,24.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
2064,STK,OTC,晉椿,10,1000.0,False,0.0,False,0,12.45,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
2065,STK,OTC,世豐,10,1000.0,False,0.0,False,0,35.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.230547
2066,STK,OTC,世德,05,1000.0,False,0.0,False,0,57.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2067,STK,OTC,嘉鋼,05,1000.0,False,0.0,False,1,5.75,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2070,STK,OTC,精湛,05,1000.0,False,0.0,False,0,64.7,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2073,STK,OTC,雄順,10,1000.0,False,0.0,False,0,26.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2221,STK,OTC,大甲,20,1000.0,False,0.0,False,0,52.6,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2230,STK,OTC,泰茂,38,1000.0,False,0.0,False,0,24.3,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2235,STK,OTC,謚源,05,1000.0,False,0.0,False,0,27.6,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2596,STK,OTC,綠意,14,1000.0,False,0.0,False,0,33.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.232099
2640,STK,OTC,大車隊,36,1000.0,False,0.0,False,0,154.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2641,STK,OTC,正德,15,1000.0,False,0.0,False,0,18.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2643,STK,OTC,捷迅,15,1000.0,False,0.0,False,0,61.9,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2718,STK,OTC,全心投控,14,1000.0,False,0.0,False,0,49.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2719,STK,OTC,燦星旅,16,1000.0,False,0.0,False,0,21.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2724,STK,OTC,藝舍-KY,20,1000.0,False,0.0,False,0,10.55,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2726,STK,OTC,雅茗-KY,16,1000.0,False,0.0,False,0,8.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.233668
2729,STK,OTC,瓦城,16,1000.0,False,0.0,False,0,159.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.235211
2732,STK,OTC,六角,16,1000.0,False,0.0,False,0,64.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.235211
2734,STK,OTC,易飛網,16,1000.0,False,0.0,False,0,15.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.235211
2736,STK,OTC,富野,16,1000.0,False,0.0,False,0,11.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.235211
2740,STK,OTC,華軒,16,1000.0,False,0.0,False,0,29.7,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.235211
2743,STK,OTC,山富,16,1000.0,False,0.0,False,0,57.3,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.236239
2745,STK,OTC,五福,16,1000.0,False,0.0,False,0,87.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.236239
2751,STK,OTC,王座,16,1000.0,False,0.0,False,0,54.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.236757
2752,STK,OTC,豆府,16,1000.0,False,0.0,False,0,179.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.236757
2754,STK,OTC,亞洲藏壽司,16,1000.0,False,0.0,False,0,68.7,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.236757
2755,STK,OTC,揚秦,16,1000.0,False,0.0,False,0,103.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.238334
2756,STK,OTC,聯發國際,16,1000.0,False,0.0,False,0,61.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.238334
2916,STK,OTC,滿心,38,1000.0,False,0.0,False,0,40.15,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.238334
2924,STK,OTC,宏太-KY,38,1000.0,False,0.0,False,0,17.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.238334
2926,STK,OTC,誠品生活,32,1000.0,False,0.0,False,0,30.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.238334
2937,STK,OTC,集雅社,38,1000.0,False,0.0,False,0,48.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.239504
2941,STK,OTC,米斯特,38,1000.0,False,0.0,False,0,30.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.239504
2947,STK,OTC,振宇五金,38,1000.0,False,0.0,False,0,62.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.239504
2948,STK,OTC,寶陞,38,1000.0,False,0.0,False,0,37.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.239504
2949,STK,OTC,欣新網,36,1000.0,False,0.0,False,0,61.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.239504
3064,STK,OTC,泰偉,32,1000.0,False,0.0,False,1,19.55,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.239504
3066,STK,OTC,李洲,26,1000.0,False,0.0,False,0,23.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3067,STK,OTC,全域,38,1000.0,False,0.0,False,0,17.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3071,STK,OTC,協禧,25,1000.0,False,0.0,False,0,24.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3073,STK,OTC,天方能源,35,1000.0,False,0.0,False,0,22.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3078,STK,OTC,僑威,28,1000.0,False,0.0,False,0,53.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3081,STK,OTC,聯亞,27,1000.0,False,0.0,True,0,2680.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3083,STK,OTC,網龍,32,1000.0,False,0.0,False,0,23.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.241053
3085,STK,OTC,新零售,36,1000.0,False,0.0,False,0,11.95,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3086,STK,OTC,華義*,32,1000.0,False,0.0,False,0,26.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3088,STK,OTC,艾訊,25,1000.0,False,0.0,False,0,126.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3093,STK,OTC,港建*,31,1000.0,False,0.0,False,0,48.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3095,STK,OTC,及成,27,1000.0,False,0.0,False,0,36.7,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3105,STK,OTC,穩懋,24,1000.0,False,0.0,False,0,363.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3114,STK,OTC,好德,28,1000.0,False,0.0,False,0,31.95,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3115,STK,OTC,富榮綱,28,1000.0,False,0.0,False,0,8.89,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
3118,STK,OTC,進階,22,1000.0,False,0.0,False,0,31.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.242616
